,Depth ice/snow [m],δD H2O [‰ SMOW],δ18O H2O [‰ SMOW],Estimated Age [ka BP],Milan_ECC,Milan_OMEGA,Milan_OBL,Milan_PREC,Milan_90SJune,Milan_90SDec,delta-iso18o-Base at 6.6m,0.6*iso18o-Base at 6.6m,0.7*iso18o-Base at 6.6m,0.4*iso18o-Base at 6.6m,nearest_temp_age,Volume – km3,CO2,CH4
0,6.6,-390.9,-50.12,0.07248559999999998,0.017265574124800002,100.12977138400001,23.4552056712,0.016947840495999997,0.0,560.151673016,0.05600000000000449,0.03360000000000269,0.03920000000000314,0.022400000000001797,,0.0,,
1,7.15,-385.1,-49.16,0.08330725,0.017269989358,99.94461295250001,23.45658002075,0.016954982785,0.0,560.1907391725,1.0160000000000053,0.6096000000000031,0.7112000000000037,0.40640000000000215,,0.0,,
2,7.7,-377.8,-48.14,0.0941285,0.017274404428,99.759461365,23.4579543195,0.01696212481,0.0,560.229803885,2.0360000000000014,1.2216000000000007,1.425200000000001,0.8144000000000006,,0.0,,
3,8.25,-394.1,-50.35,0.105295,0.01727896036,99.56840255,23.459372465,0.016969494699999997,0.0,560.27011495,-0.1739999999999995,-0.10439999999999969,-0.12179999999999963,-0.0695999999999998,,0.0,,
4,8.8,-398.7,-50.94,0.11687580000000002,0.0172836853264,99.370255062,23.4608432266,0.016977138027999997,0.0,560.311921638,-0.7639999999999958,-0.4583999999999975,-0.534799999999997,-0.3055999999999983,,0.0,,
5,9.35,-395.9,-50.6,0.12845625,0.017288410150000003,99.1721135625,23.46231394375,0.016984781124999997,0.0,560.3537270625,-0.4239999999999995,-0.2543999999999997,-0.2967999999999996,-0.1695999999999998,,0.0,,
6,9.9,-395.9,-50.52,0.1400365,0.017293134892,98.97397548500001,23.4637846355,0.01699242409,0.0,560.395531765,-0.3440000000000012,-0.20640000000000072,-0.24080000000000082,-0.13760000000000047,,0.0,,
7,10.45,-399.3,-51.07,0.15183365,0.017297948129200002,98.7721262485,23.465282873550002,0.017000210209,0.0,560.4381194765,-0.8939999999999984,-0.536399999999999,-0.6257999999999988,-0.35759999999999936,,0.0,,
8,11.0,-391.4,-49.97,0.163679,0.017302781032,98.56945231,23.466787233,0.01700802814,0.0,560.48088119,0.20600000000000307,0.12360000000000183,0.14420000000000213,0.08240000000000124,,0.0,,
9,11.55,-399.5,-50.89,0.1755238,0.017307613710400002,98.366787782,23.4682915226,0.017015845707999997,0.0,560.523640918,-0.7139999999999986,-0.42839999999999917,-0.499799999999999,-0.28559999999999947,,0.0,,
