Oldest Age - Years BP,Ave Age -Years BP,Young Age - Years BP,Volcano (OR GEOLOGIC AGE),Location,Deposit (OR GEOLOGIC EVENT),VEI,Volume – km3,"Caldera -Diam, kmReference",(WEB1-WEB5 abbreviations expanded at the end),
9400,9400,"9,400 L'vinaya Past (Moikeshi)",,Kamchatka,,,,9,Braitseva et al. (1995),
9357,9357,"9,357 Ulreung",,Korea,,6,,,www.volcano.si.edu/world/largeeruptions.cfm,
10000,9000,"8,000 Ichinsky III",,Kamchatka,,,,5,"Fedotov and Masurenkov (1991), Leonov (2003), Erlich (1986), WEB1",
9709,8861,"8,012 Ksudach",(KS4),Kamchatka,,,15-2,,www.kscnet.ru/ivs/volcanoes/holocene/main/main.htm,
8800,8800,"8,800 Ksudach III",,Kamchatka,,,,?,"Braitseva et al. (1995), Volynets et al. (1999), WEB1",
9015,8759,"8,502 Karymsky",,Kamchatka,,6,13-16,,www.kscnet.ru/ivs/volcanoes/holocene/main/main.htm,
8597,8587,"8,577 Okataina",,New Zealand,,6,,,www.volcano.si.edu/world/largeeruptions.cfm,
9000,8500,"8,000 Bolshoi Semiachik II",,Kamchatka,,,,10,"Leonov (2003), Erlich (1986), WEB1",
8470,8462,"8,442 Kurile Lake",,Kamchatka,,7,140-170,,Zaretskaia et al. (2001),
8430,8331,"8,232 Kizimen (KZ)",,Kamchatka,,6,4-5,,www.kscnet.ru/ivs/volcanoes/holocene/main/main.htm,
9207,8207,"7,207 Sakura-Jima",,Japan,,6,,,www.volcano.si.edu/world/largeeruptions.cfm,
8057,8057,"8,057 Menengai",,Eastern Africa,,6,,,www.volcano.si.edu/world/largeeruptions.cfm,
8117,8000,"7,882 Avachinsky (I AV2)",,Kamchatka,,6,>8-10,,www.kscnet.ru/ivs/volcanoes/holocene/main/main.htm,
7900,7900,"7,900 Karymsky",,Kamchatka,,6,,5,"Braitseva et al. (1995), Leonov (2003), Erlich (1986)",
7733,7708,"7,682 Khangar (KHG)",,Kamchatka,,6,14-16,21x28,www.kscnet.ru/ivs/volcanoes/holocene/main/main.htm,
7834,7684,"7,534 Crater Lake",,Oregon,,7,51-59,10x8,"Bacon et al. (1997), www.volcano.si.edu/world/largeeruptions.cfm",
7632,7557,"7,482 Tao-Rusyr Caldera",,Kuril Islands,,6,,,www.volcano.si.edu/world/largeeruptions.cfm,
7275,7215,"7,154 Ksudach",(KS3),Kamchatka,,,10-11,,www.kscnet.ru/ivs/volcanoes/holocene/main/main.htm,
7100,7100,"7,100 Tavui",,New Britain,,,,,www.volcano.si.edu/world/volcanocfm?vnum=0502-14=,
7127,7077,"7,027 Crater Lake",,Oregon,,6,,,www.volcano.si.edu/world/largeeruptions.cfm,
9400,7475,"5,550 Tao-Rusyr",,Kamchatka,,,,75,Braitseva et al. (1995) Wikipedia: Tao-Rusyr,
8257,7257,"6,257 Aniakchak",,Alaska,,6,,,www.volcano.si.edu/world/largeeruptions.cfm,
7087,6887,"6,687 Mashu",,Japan,,6,,,www.volcano.si.edu/world/largeeruptions.cfm,
6963,6884,"6,804 Ksudach (KS2)",,Kamchatka,,6,7-8,,www.volcano.si.edu/world/largeeruptions.cfm,
6757,6757,"6,757 Hudson, Cerro",,Chile,,6,,,www.volcano.si.edu/world/largeeruptions.cfm,
6567,6367,"6,167 Macauley Island",,Kermec Islands,,6,,,www.volcano.si.edu/world/largeeruptions.cfm,
6357,6357,"6,357 Kikai",,Japan,,7,150,,"Chen (2003), www.volcano.si.edu/world/largeeruptions.cfm",
6367,6318,"6,269 Avachinsky",(AV4),Kamchatka,,,>134,,www.kscnet.ru/ivs/volcanoes/holocene/main/main.htm,
6000,6000,"6,000 Ksudach IV",,Kamchatka,,,,?,"Braitseva et al. (1995), Volynets et al. (1999), WEB1",
5787,5687,"5,587 Pago",,New Britain,,6,,,www.volcano.si.edu/world/largeeruptions.cfm,
5787,5587,"5,387 Taal",,Philippines,,6,,,www.volcano.si.edu/world/largeeruptions.cfm,
5557,5557,"5,557 Pinatubo",,Philippines,,6,,,www.volcano.si.edu/world/largeeruptions.cfm,
5507,5507,"5,507 Iliinsky",(ZLT),Kamchatka,,,1,,www.kscnet.ru/ivs/volcanoes/holocene/main/main.htm,
5641,5347,"5,053 Chasha crater (OPtr)",,Kamchatka,,,1,,www.kscnet.ru/ivs/volcanoes/holocene/main/main.htm,
5346,5194,"5,041 Avachinsky",(AV3),Kamchatka,,,>11,,www.kscnet.ru/ivs/volcanoes/holocene/main/main.htm,
4907,4887,"4,867 Okataina",,New Zealand,,6,,,www.volcano.si.edu/world/largeeruptions.cfm,
4873,4692,"4,511 Shiveluch (SHdv)",,Kamchatka,,,>15,,www.kscnet.ru/ivs/volcanoes/holocene/main/main.htm,
4857,4637,"4,416 Avachinsky",(AV2),Kamchatka,,,>06,,www.kscnet.ru/ivs/volcanoes/holocene/main/main.htm,
4147,4047,"3,947 Long Island",,NE of New Guinea,,6,,,www.volcano.si.edu/world/largeeruptions.cfm,
4057,3907,"3,757 Black Peak",,Alaska,,6,,,www.volcano.si.edu/world/largeeruptions.cfm,
3897,3897,"3,897 Hudson, Cerro",,Southern Chile,,6,,,www.volcano.si.edu/world/largeeruptions.cfm,
3911,3893,"3,875 Avachinsky (AV1)",,Kamchatka,,6,>4,,www.kscnet.ru/ivs/volcanoes/holocene/main/main.htm,
3867,3867,"3,867 St Helens",,Washington,,6,,,www.volcano.si.edu/world/largeeruptions.cfm,
3893,3824,"3,755 Avachinsky",(AV1),Kamchatka,,,>4,,www.kscnet.ru/ivs/volcanoes/holocene/main/main.htm,
3757,3757,"3,757 Veniaminof",,Alaska,,6,>400,9,"Bacon et al. (2007), www.volcano.si.edu/world/largeeruptions.cfm",
3662,3652,"3,642 Aniakchak",,Alaska,,6,335,20x10,"Larsen (2006), www.volcano.si.edu/world/largeeruptions.cfm",
3634,3621,"3,607 Santorini",,Greece,,7,99,,www.volcano.si.edu/world/largeeruptions.cfm Friedrich et al. (2006),
3607,3607,"3,607 Taupo",,New Zealand,,6,,,www.volcano.si.edu/world/largeeruptions.cfm,
3500,3500,"3,500 Rabaul",,New Britain,,,,14x9,Newhall and Dzurisin (1988),
3527,3427,"3,327 Pago",,New Britain,,6,,,www.kscnet.ru/ivs/volcanoes/holocene/main/main.htm,
3557,3057,"2,557 Pinatubo",,Philippines,,6,,,www.kscnet.ru/ivs/volcanoes/holocene/main/main.htm,
2929,2929,"2,929 Shiveluch (SH2800)",,Kamchatka,,,>1,,www.kscnet.ru/ivs/volcanoes/holocene/main/main.htm,
2814,2673,"2,531 Shiveluch (SH5)",,Kamchatka,,,>1,,www.kscnet.ru/ivs/volcanoes/holocene/main/main.htm,
2798,2617,"2,435 Khodutkinsky crater (KHD)",,Kamchatka,,,1.5,,www.kscnet.ru/ivs/volcanoes/holocene/main/main.htm,
2331,2257,"2,183 Raoul Island",,Kermec Islands,,6,,,www.kscnet.ru/ivs/volcanoes/holocene/main/main.htm,
2157,2107,"2,057 Okmok",,Alaska,,6,,,www.kscnet.ru/ivs/volcanoes/holocene/main/main.htm,
2057,1957,"1,857 Ambrym",,Vanuatu,,6,,,www.kscnet.ru/ivs/volcanoes/holocene/main/main.htm,
2147,1947,"1,747 Churchill",,Eastern Alaska,,6,,,www.kscnet.ru/ivs/volcanoes/holocene/main/main.htm,
1827,1827,"1,827 Taupo",,New Zealand,,7,90,35,www.kscnet.ru/ivs/volcanoes/holocene/main/main.htm,
1800,1800,"1,800 Ksudach V",,Kamchatka,,6,,6,"Braitseva et al. (1995), Braitseva et al. (1996), Volynets et al. (1999),WEB1",
1767,1767,"1,767 Ksudach (Stubel cone)",,Kamchatka,,6,19,,"Braitseva et al. (1996), WEB1",
1867,1767,"1,667 Ksudach (KS1)",,Kamchatka,,6,18-19,,www.kscnet.ru/ivs/volcanoes/holocene/main/main.htm,
1587,1557,"1,527 Ilopango",,El Salvador,,6,10 to 20,8x11,www.volcano.si.edu/world/largeeruptions.cfm,
1800,1550,"1,300 Kamchatka",,Kamchatka,Major upsurge in activity,,,,Braitseva et al. (1995),
1567,1467,"1,367 Rabaul",,New Britain,,6,12?,14x9,www.volcano.si.edu/world/largeeruptions.cfm,
1457,1413,"1,369 Opala, Baranii",,Kamchatka,Amphitheater crater,6,9-10,,www.kscnet.ru/ivs/volcanoes/holocene/main/main.htm,
1379,1379,"1,379 Shiveluch (SH1450)",,Kamchatka,,,>1,,www.kscnet.ru/ivs/volcanoes/holocene/main/main.htm,
1393,1365,"1,337 Shiveluch (SH3)",,Kamchatka,,,>2,,www.kscnet.ru/ivs/volcanoes/holocene/main/main.htm,
1507,1307,"1,107 Churchill",,Eastern Alaska,,6,,,www.volcano.si.edu/world/largeeruptions.cfm,
1372,1297,"1,222 Pago",,New Britain,,6,,,www.volcano.si.edu/world/largeeruptions.cfm,
1257,1207,"1,157 Dakataua",,New Britain,,6,75,105x135,"Newhall and Dzurisin (1988), www.volcano.si.edu/world/largeeruptions.cfm",
1277,1077,877 Ceboruco,,México,,6,,,www.volcano.si.edu/world/largeeruptions.cfm,
1118,1055,"992 Ksudach, Stübel cone (KSht1)",,Kamchatka,,,2,,www.kscnet.ru/ivs/volcanoes/holocene/main/main.htm,
1047,1007,967 Baitoushan,,Eastern China,,7,96,5,"Horn and Schmincke (2000), www.volcano.si.edu/world/largeeruptions.cfm",
986,918,850 Shiveluch (SH2),,Kamchatka,,,>2,,www.kscnet.ru/ivs/volcanoes/holocene/main/main.htm,
751,751,750 Largest sulfate anomaly in ice cores,,Unknown,,,,,Oppenheimer (2003), Palais et al. (1992)
727,727,727 Quilotoa,,Ecuador,,6,,,www.volcano.si.edu/world/largeeruptions.cfm,
565,555,545 Kuwae,,Vanuatu,,6,,,www.volcano.si.edu/world/largeeruptions.cfm,
447,427,407 Billy Mitchell,,Bougainville Island,,6,,,www.volcano.si.edu/world/largeeruptions.cfm,
407,407,407 Huaynaputina,,Perú,,6,,,www.volcano.si.edu/world/largeeruptions.cfm,
366,355,344 Shiveluch (SH1),,Kamchatka,,,>1,,www.kscnet.ru/ivs/volcanoes/holocene/main/main.htm,
367,347,327 Long Island,,NE of New Guinea,,6,,,www.volcano.si.edu/world/largeeruptions.cfm,
224,224,224 Laki,,Iceland,Small explosive euption but very gas rich,4,,,Thordarson and Self (2003),
217,201,185 Ksudach (KS1),,Kamchatka,,6,18-19,,www.kscnet.ru/ivs/volcanoes/holocene/main/main.htm,
198,198,198 Ice Core Anomaly,,Tropics,,,,,Dai et al. (1991),
192,192,192 Tambora,,Indonesia,,7,160,60,"Self et al. (1989), www.volcano.si.edu/world/largeeruptions.cfm",
153,153,153 Shiveluch,(SH1854),Kamchatka,,,1,,www.kscnet.ru/ivs/volcanoes/holocene/main/main.htm,
124,124,124 Krakatau,,Indonesia,,6,,,www.volcano.si.edu/world/largeeruptions.cfm,
105,105,105 Santa Maria,,Guatemala,,6,,,www.volcano.si.edu/world/largeeruptions.cfm,
100,100,"100 Ksudach, Stübel cone (KSht3)",,Kamchatka,,5,2,,www.kscnet.ru/ivs/volcanoes/holocene/main/main.htm,
95,95,95 Novarupta,,Alaska,,6,,,www.volcano.si.edu/world/largeeruptionscfm,
51,51,,51 Bezymianny,(B1956),Kamchatka,5,,,www.kscnet.ru/ivs/volcanoes/holocene/main/main.htm,
43,43,,43 Shiveluch (SH1964),Kamchatka,,,1.5-2,,www.kscnet.ru/ivs/volcanoes/holocene/main/main.htm,
16,16,16 Pinatubo,,Philippines,,6,,,www.volcano.si.edu/world/largeeruptionscfm,
13200000,13200000,"13,200,000 Whitney Peak",,Antarctica,,,,6,Smellie et al. (1993),
12000000,11500000,"11,000,000 Mount Hampton",,Antarctica,,,,6,Smellie et al. (1993),
23030000,14180000,"5,330,000 Coulman",,Antarctica,,,,7 x 65,www.volcano.group.cam.ac.uk/database/caldera-results.xls,
23030000,14180000,"5,330,000 Nameless Glacier (Adare Peninsula)",,Antarctica,,,,5 x 4,www.volcano.group.cam.ac.uk/database/caldera-results.xls,
23030000,14180000,"5,330,000 Mandible Cirque (Daniell Peninsula)",,Antarctica,,,,9 x 8,www.volcano.group.cam.ac.uk/database/caldera-results.xls,
5700000,4950000,"4,200,000 Mount Sidley",,Antarctica,,,,5,Panter et al. (1994),
5330000,3570000,"1,810,000 Mount Siple",,Antarctica,,,,7 x 4,www.volcano.group.cam.ac.uk/database/caldera-results.xls,
2590000,1295000,,0 Mount Belinda (Montagu Island),Antarctica,,,,8 to 10,www.volcano.group.cam.ac.uk/database/caldera-results.xls,
2590000,1295000,,0 Mount Erebus,Antarctica,,,,5 x 4,www.volcano.group.cam.ac.uk/database/caldera-results.xls,
2590000,1295000,,0 Mount Morning,Antarctica,,,,5,www.volcano.group.cam.ac.uk/database/caldera-results.xls,
2590000,1295000,,0 Mount Takahe,Antarctica,,,,8,www.volcano.group.cam.ac.uk/database/caldera-results.xls,
2590000,1295000,,0 Mount Waesche (Chang Peak),Antarctica,,,,12 x 7,www.volcano.group.cam.ac.uk/database/caldera-results.xls,
2590000,1295000,,0 Port Foster (Deception Island),Antarctica,,,,11 x 9,www.volcano.group.cam.ac.uk/database/caldera-results.xls,
2590000,1295000,,0 Mount Haddington (James Ross Islan,d,Antarctica,,,6?,www.volcano.group.cam.ac.uk/database/caldera-results.xls,
Unknown,,,Cha (Fogo),Cape Verde Islands,,,,9,Newhall and Dzurisin (1988),
Unknown,,,Emi Koussi,Chad,,,,12,"Newhall and Dzurisin (1988), Permenter and Oppenheimer (2007)",
Unknown,,,Tarso Tieroko,Chad,,,,97,"Newhall and Dzurisin (1988), Permenter and Oppenheimer (2007)",
Unknown,,,Tarso Voon,Chad,,,,13,"Newhall and Dzurisin (1988), Permenter and Oppenheimer (2007)",
Unknown,,,Tarso Toon,Chad,,,,12,"Newhall and Dzurisin (1988), Permenter and Oppenheimer (2007)",
Unknown,,,Trou au Natron (Tousside),Chad,,,,8,"Newhall and Dzurisin (1988), Permenter and Oppenheimer (2007)",
Unknown,,,Tarso Yega,Chad,,,,20,Permenter and Oppenheimer (2007),
Unknown,,,Tarso Abeki,Chad,,,,13,Permenter and Oppenheimer (2007),
Unknown,,,pre-Tousside Caldera,Chad,,,,16,Permenter and Oppenheimer (2007),
Unknown,,,Unknown,Argentina,,,,5,De Silva and Francis (1991),
Unknown,,,Unknown,Argentina,,,,6,De Silva and Francis (1991),
Unknown,,,Unknown,Argentina,,,,11,De Silva and Francis (1991),
Unknown,,,Cerro Escondida,Argentina,,,,14,De Silva and Francis (1991),
Unknown,,,Cerro de Cienaga Redonda,Argentina,,,,6,De Silva and Francis (1991),
Unknown,,,Cerro Bonete,Argentina,,,,55,De Silva and Francis (1991),
Unknown,,,Kari Kari Caldera,Bolivia,,,,30,De Silva and Francis (1991),
Unknown,,,Unknown,Bolivia,,,,5,De Silva and Francis (1991),
65000000,33400000,"1,800,000 Cerro Pastos Grandes",,Bolivia,,,,35,De Silva and Francis (1991),
2590000,1295000,,0 Purico Complex,Chile,,,,17,De Silva and Francis (1991),
2590000,1295000,,0 Cordillera Nevada,Chile,,,,9,Newhall and Dzurisin (1988),
1810000,910000,"10,000 Villarrica",,Chile,,,,6,Newhall and Dzurisin (1988),
Unknown,,,Cerro Laram Khaua,Chile,,,,8,De Silva and Francis (1991),
Unknown,,,Cerros de Achecalane/Cerro Vilacollo,Chile,,,,7,De Silva and Francis (1991),
Unknown,,,Cerros de Mamuta,Chile,,,,65,De Silva and Francis (1991),
Unknown,,,Wheelwright Caldera,Chile,,,,145,De Silva and Francis (1991),
Unknown,,,Cerro Hudson,Chile,,,,10,Newhall and Dzurisin (1988),
Unknown,,,Nevados de Chilean,Chile,,,,6,Newhall and Dzurisin (1988),
Unknown,,,Copahue (Del Agrio),Chile/Argentina,,,,20,Newhall and Dzurisin (1988),
2590000,,,0 Fernandina,Ecuador,,,,65,Newhall and Dzurisin (1988),
Unknown,,,Cerro Azul,Ecuador,,,,5,Newhall and Dzurisin (1988),
Unknown,,,Sierra Negra,Ecuador,,,,105,Newhall and Dzurisin (1988),
Unknown,,,Volcan Alcedo,Ecuador,,,,7,Newhall and Dzurisin (1988),
Unknown,,,Volcan Darwin,Ecuador,,,,5,Newhall and Dzurisin (1988),
Unknown,,,Volcano Wolf,Ecuador,,,,6,Newhall and Dzurisin (1988),
Unknown,,,Marchena,Ecuador,,,,7,Newhall and Dzurisin (1988),
Unknown,,,Galeras Caldera,Peru,,,,15,De Silva and Francis (1991),
Unknown,,,Quello Apacheta,Peru,,,,5,De Silva and Francis (1991),
Unknown,,,Cerro Choquepata/Cerro San Miguel,Peru,,,,6,De Silva and Francis (1991),
Unknown,,,Unknown,Peru,,,,5,De Silva and Francis (1991),
Unknown,,,Unknown,Peru,,,,6,De Silva and Francis (1991),
10000,,,0 Nabro,Eritrea,,,,10,Newhall and Dzurisin (1988),
10000,,0 Alutu,,Ethiopia,,,,8,Newhall and Dzurisin (1988),
10000,,0 Kone,,Ethiopia,,,,8,Newhall and Dzurisin (1988),
10000,,,0 Asavyo,Ethiopia,,,,12,Newhall and Dzurisin (1988),
10000,,,0 Gedamsa,Ethiopia,,,,10,Newhall and Dzurisin (1988),
1810000,910000,"10,000 O'a Caldera (Shalla)",,Ethiopia,,,,25,Newhall and Dzurisin (1988),
Unknown,,,Oyma,Ethiopia,,,,5,Newhall and Dzurisin (1988),
Unknown,,,Gademota,Ethiopia,,,,10,Newhall and Dzurisin (1988),
Unknown,,,Duguna,Ethiopia,,,,10,Newhall and Dzurisin (1988),
Unknown,,,Awasa,Ethiopia,,,,40,Newhall and Dzurisin (1988),
Unknown,,,Corbetti,Ethiopia,,,,15,Newhall and Dzurisin (1988),
10000,,,0 Mallahle,Ethiopia/Eritrea,,,,8,Newhall and Dzurisin (1988),
2590000,1295000,,0 Oraefajokull,Iceland,,,,5,Newhall and Dzurisin (1988),
1810000,910000,"10,000 Askja",,Iceland,,,,8,Newhall and Dzurisin (1988),
1810000,910000,"10,000 Krafla",,Iceland,,,,10,Newhall and Dzurisin (1988),
1810000,910000,"10,000 Torfajokull",,Iceland,,,,12,Newhall and Dzurisin (1988),
Unknown,,,Bardarbunga,Iceland,,,,9,Newhall and Dzurisin (1988),
Unknown,,,Grimsvotn,Iceland,,,,8,Newhall and Dzurisin (1988),
Unknown,,,Katla,Iceland,,,,14,Newhall and Dzurisin (1988),
Unknown,,,Kverkfjoll,Iceland,,,,8,Newhall and Dzurisin (1988),
10000,5000,,0 Krakatau,Indonesia,,,,7,Newhall and Dzurisin (1988),
10000,5000,,0 Tambora,Indonesia,,,,6,Newhall and Dzurisin (1988),
2590000,1295000,,0 Sunda,Indonesia,,,,7,Newhall and Dzurisin (1988),
2590000,1295000,,0 Lobotua/Badjawa,Indonesia,,,,75,Newhall and Dzurisin (1988),
2590000,1295000,,0 Tondano,Indonesia,,,,30,Newhall and Dzurisin (1988),
1810000,910000,"10,000 Prahu (Dieng)",,Indonesia,,,,65,Newhall and Dzurisin (1988),
1810000,910000,"10,000 Tengger",,Indonesia,,,,16,Newhall and Dzurisin (1988),
1810000,910000,"10,000 Batur",,Indonesia,,,,13,Newhall and Dzurisin (1988),
Unknown,,,Singkarak,Indonesia,,,,15,Newhall and Dzurisin (1988),
Unknown,,,Hutapanjang,Indonesia,,,,14,Newhall and Dzurisin (1988),
Unknown,,,Gedongsurian,Indonesia,,,,15,Newhall and Dzurisin (1988),
Unknown,,,Dano (Banten),Indonesia,,,,11,Newhall and Dzurisin (1988),
Unknown,,,Buyan-Bratan,Indonesia,,,,11,Newhall and Dzurisin (1988),
Unknown,,,Ranau,Indonesia,,,,13,Newhall and Dzurisin (1988),
Unknown,,,Suoh,Indonesia,,,,16,Newhall and Dzurisin (1988),
Unknown,,,Geger Halang,Indonesia,,,,5,Newhall and Dzurisin (1988),
Unknown,,,Ijen (Raung),Indonesia,,,,20,Newhall and Dzurisin (1988),
Unknown,,,Ijen (Merapi),Indonesia,,,,20,Newhall and Dzurisin (1988),
Unknown,,,Segara Anak,Indonesia,,,,5,Newhall and Dzurisin (1988),
Unknown,,,Sukaria,Indonesia,,,,18,Newhall and Dzurisin (1988),
Unknown,,,Banda Api,Indonesia,,,,7,Newhall and Dzurisin (1988),
Unknown,,,Poco Leok,Indonesia,,,,6,Newhall and Dzurisin (1988),
23030000,14180000,"5,330,000 Kumano",,Japan,,,,,www.volcano.group.cam.ac.uk/database/caldera-results.xls,
10000,5000,0 Kikai,,Japan,,,,19,Newhall and Dzurisin (1988),
2590000,1295000,,0 Sanbe,Japan,,,,7,Newhall and Dzurisin (1988),
2590000,1295000,,0 Tate-yama (Midagahara),Japan,,,,5,Newhall and Dzurisin (1988),
2590000,1295000,,0 Kuttara,Japan,,,,5,Newhall and Dzurisin (1988),
2590000,1295000,0 Ata,,Japan,,,,20,Newhall and Dzurisin (1988),
2590000,1295000,,0 Aira (Sakura-jima),Japan,,,,23,Newhall and Dzurisin (1988),
2590000,1295000,,0 Kakuto,Japan,,,,13,Newhall and Dzurisin (1988),
2590000,1295000,,0 On-Take,Japan,,,,5,Newhall and Dzurisin (1988),
2590000,1295000,,0 Iwo-Jima,Japan,,,,9,Newhall and Dzurisin (1988),
2590000,1295000,0 Toya,,Japan,,,,10,Newhall and Dzurisin (1988),
1810000,910000,"10,000 Hakkoda",,Japan,,,,8,Newhall and Dzurisin (1988),
1810000,910000,"10,000 Aso",,Japan,,,,24,Newhall and Dzurisin (1988),
1810000,910000,"10,000 Hakone",,Japan,,,,11,Newhall and Dzurisin (1988),
1810000,910000,"10,000 Towada",,Japan,,,,11,Newhall and Dzurisin (1988),
1810000,910000,"10,000 Shikotsu",,Japan,,,,15,Newhall and Dzurisin (1988),
Unknown,,,Tazawa,Japan,,,,6,Newhall and Dzurisin (1988),
Unknown,,,Akaigawa,Japan,,,,8,Newhall and Dzurisin (1988),
Unknown,,,Onikobe,Japan,,,,10,Newhall and Dzurisin (1988),
Unknown,,,Narugo,Japan,,,,7,Newhall and Dzurisin (1988),
Unknown,,,Bayonnaise,Japan,,,,9,Newhall and Dzurisin (1988),
Unknown,,,Daisetsu-Tokachi Graben,Japan,,,,25,Newhall and Dzurisin (1988),
10000,5000,,0 Menengai,Kenya,,,,12,Newhall and Dzurisin (1988),
10000,5000,,0 Suswa,Kenya,,,,12,Newhall and Dzurisin (1988),
1810000,910000,"10,000 Emuruangogolak",,Kenya,,,,5,Newhall and Dzurisin (1988),
1810000,910000,"10,000 Silali",,Kenya,,,,8,Newhall and Dzurisin (1988),
1810000,910000,"10,000 The Barrier",,Kenya,,,,6,Newhall and Dzurisin (1988),
Unknown,,,Longonot,Kenya,,,,12,Newhall and Dzurisin (1988),
Unknown,,,Ngorongoro,Kenya,,,,16,Newhall and Dzurisin (1988),
1810000,910000,"10,000 Qualibou",,St Lucia,,,,5,Newhall and Dzurisin (1988),
2590000,1295000,,"0 (Valley of Desolation) Watt, Morne",Dominica,,,,10,Newhall and Dzurisin (1988),
1810000,910000,"10,000 Guyabo (Miravalles)",,Costa Rica,,,,20,Newhall and Dzurisin (1988),
1810000,910000,"10,000 Poas",,Costa Rica,,,,16,Newhall and Dzurisin (1988),
1810000,910000,"10,000 Rincon De La Vieja (Guachipelin)",,Costa Rica,,,,18,Newhall and Dzurisin (1988),
1810000,910000,"10,000 Amatitlan (Pacaya)",,Guatemala,,,,16,Newhall and Dzurisin (1988),
1810000,910000,"10,000 Atitlan",,Guatemala,,,,19,Newhall and Dzurisin (1988),
2590000,1295000,,0 Los Humeros,Mexico,,,,21,Newhall and Dzurisin (1988),
2590000,1295000,,0 Apoyo,Nicaragua,,,,7,Newhall and Dzurisin (1988),
1810000,910000,"10,000 Masaya",,Nicaragua,,,,11,Newhall and Dzurisin (1988),
Unknown,,,Las Lajas,Nicaragua,,,,7,Newhall and Dzurisin (1988),
2590000,1295000,,0 Bulusan,Philippines,,,,11,Newhall and Dzurisin (1988),
1810000,910000,"10,000 Natib",,Philippines,,,,7,Newhall and Dzurisin (1988),
Unknown,,,Taal,Philippines,,,,20,Newhall and Dzurisin (1988),
1810000,910000,"10,000 Piton de la Fournaise",,France,,,,12,Newhall and Dzurisin (1988),
1810000,910000,"10,000 Thira (Santorini)",,Greece,,,,10,Newhall and Dzurisin (1988),
2590000,1295000,0 Vico,,Italy,,,,7,Newhall and Dzurisin (1988),
2590000,1295000,,0 Roccamonfina,Italy,,,,6,Newhall and Dzurisin (1988),
2590000,1295000,,0 Cinque Denti,Italy,,,,6,Newhall and Dzurisin (1988),
2590000,1295000,,0 La Vecchia,Italy,,,,6,Newhall and Dzurisin (1988),
1810000,910000,"10,000 Vulsini (Bolsena)",,Italy,,,,16,Newhall and Dzurisin (1988),
1810000,910000,"10,000 Monte Albano (Alban Hills)",,Italy,,,,125,Newhall and Dzurisin (1988),
1810000,910000,"10,000 Phlegrean Fields (Campi Flegrei)",,Italy,,,,13,Newhall and Dzurisin (1988),
1810000,910000,"10,000 Ischia",,Italy,,,,8,Newhall and Dzurisin (1988),
Unknown,,,Sacrofano-Baccano,Italy,,,,19,Newhall and Dzurisin (1988),
1810000,910000,"10,000 Agua de Pau",,Portugal,,,,7,Newhall and Dzurisin (1988),
1810000,910000,"10,000 Furnas",,Portugal,Larger older caldera but not well defined,,,6,Newhall and Dzurisin (1988),
1810000,910000,"10,000 Sete Cidades",,Portugal,,,,5,Newhall and Dzurisin (1988),
Unknown,,,Las Canadas,Spain,,,,17,Newhall and Dzurisin (1988),
300000,175000,"50,000 Kikhpinych",,Kamchatka,,,,12?,www.volcano.group.cam.ac.uk/database/caldera-results.xls,
300000,175000,"50,000 No name - caldera? Between Uzon-G",e,Kamchatka,,,,?,www.volcano.group.cam.ac.uk/database/caldera-results.xls,
300000,175000,"50,000 Pirog",,Kamchatka,,,,15,www.volcano.group.cam.ac.uk/database/caldera-results.xls,
300000,175000,"50,000 Igolki",,Kamchatka,,,,7,Leonov (2003),
300000,175000,"50,000 Zheltovsky",,Kamchatka,,,,16,Leonov (2003),
300000,175000,"50,000 Pauzhetka II",,Kamchatka,,,,25,"Melekestsev et al. (1974), Erlich (1986)",
3000000,1525000,"50,000 Paltsevsky",,Kamchatka,,,,16?,www.volcano.group.cam.ac.uk/database/caldera-results.xls,
3000000,1525000,"50,000 Large caldera enclosing later Uzon-Ge Kamchatka",,,,,,48,www.volcano.group.cam.ac.uk/database/caldera-results.xls,
3000000,1525000,"50,000 Large caldera enclosing a suite of late",r,Kamchatka,,,,50,www.volcano.group.cam.ac.uk/database/caldera-results.xls,
3000000,1525000,"50,000 A large caldera including Ksudach",,Kamchatka,,,,35,www.volcano.group.cam.ac.uk/database/caldera-results.xls,
3000000,1525000,"50,000 Pauzhetka I",,Kamchatka,,,,40,"Melekestsev et al. (1974), Erlich (1986)",
1810000,910000,"10,000 Ketoi",,Kamchatka,,,,5,Newhall and Dzurisin (1988),
1810000,910000,"10,000 Urataman",,Kamchatka,,,,8,Newhall and Dzurisin (1988),
2590000,1295000,,0 Tien-Chi (Changpaishan),Kamchatka,,,,5,Newhall and Dzurisin (1988),
Unknown,,,Chirpoi,Kamchatka,,,,9,Newhall and Dzurisin (1988),
Unknown,,,Medvezhii,Kamchatka,,,,8,Newhall and Dzurisin (1988),
Unknown,,,Rasshua,Kamchatka,,,,6,Newhall and Dzurisin (1988),
Unknown,,,Zavaritsky (Veer),Kamchatka,,,,10,Newhall and Dzurisin (1988),
,,,Kidnappers Flow,New Zealand,,,,,www.volcano.group.cam.ac.uk/database/caldera-results.xls,
350000,175000,,"0 Haroharo, Okataina complex",New Zealand,,,,20,"Newhall and Dzurisin (1988), Hodgson and Nairn (2004)",
1810000,910000,"10,000 Taupo",,New Zealand,,,,35,Newhall and Dzurisin (1988),
