Oldest Age - Years BP,Ave Age -Years BP,Young Age - Years BP,Volcano (OR GEOLOGIC AGE),Location,Deposit (OR GEOLOGIC EVENT),VEI,Volume – km3,"Caldera -Diam, kmReference",(WEB1-WEB5 abbreviations expanded at the end),
33700000,33700000,"33,700,000 Marshall Creek",,Colorado,Thorn Ranch Tuff,,100+,,Gregory and McIntosh (1996),
33000000,33000000,"33,000,000 Socorro",,New Mexico,Hells Mesa Rhyolite,,500,35x25,Osburn and Chapin (1983),
33000000,33000000,"33,000,000 Emory",,New Mexico,Kneeling Nun Tuff,,1310,55x25,Elston et al. (1975),
33000000,33000000,"33,000,000 Cowboy Rim",,New Mexico,Gillespie Tuff,,500,26x18,Erb (1979),
32500000,32500000,"32,500,000 Bonanza",,Colorado,Bonanza Tuff,,100+,12,Lipman and Calvert (2003),
33000000,32500000,"32,000,000 Chinati",,Texas,Mitchel Mesa Rhyolite,,1000,30x20,Henry and Price (1984),
32000000,32000000,"32,000,000 Organ",,New Mexico,Cueva Soledad Rhyolite,,500,16,Seager (1981),
31900000,31900000,"31,900,000 North Pass",,Colorado,Tuff of Saguache Creek,,200+,,Lipman and Calvert (2003),
31400000,31400000,"31,400,000 William's Ridge",,Central Nevada,Windous Butte Tuff,,3500,,Best et al. (1993),
32000000,30500000,"29,000,000 Goodsight-Cedar (Bell Top Formation) New Mexico",,,Bell Top Formation,,295,,Seager (1973),
30000000,30000000,"30,000,000 Platoro",,Colorado,La Jara Canyon Tuff,,592,18x22,Lipman (1975),
29500000,29500000,"29,500,000 Indian Peak",,Eastern Nevada,Wah Wah Springs Tuff,,"3,200+",,Best et al. (1989),
29500000,29500000,"29,500,000 Platoro",,Colorado,Black Mountain Tuff,,500,12x18,"Lipman (1975), Lipman et al. (1996)",
29000000,29000000,"29,000,000 Ute Creek",,Colorado,Ute Ridge Tuff,,500,8,Steven and Lipman (1976),
29000000,29000000,"29,000,000 Unknown",,"Great Basin, USA",Lund Tuff,,2600,,Maughan et al. (2002),
29000000,29000000,"29,000,000 Mount Hope",,Colorado,Masonic Park Tuff,,500,15,Steven and Lipman (1976),
30000000,29000000,"28,000,000 Unknown",,Ethiopia,Green Tuff + SAM,,3000,,Ukstins_Peate et al. (2003),
28500000,28500000,"28,500,000 Summitville",,Colorado,Ojito Creek/La Jadero Tuffs,,100-500,12x8,"Lipman (1975), Lipman et al. (1996)",
28500000,28500000,"28,500,000 San Juan",,Colorado,,,900,24x22,Lipman et al. (1973),
29000000,28500000,"28,000,000 Bursum",,New Mexico,Apache Springs Tuff,,1200,40x30,Ratté et al. (1984),
29000000,28500000,"28,000,000 Bursum",,New Mexico,Bloodgood Canyon Tuff,,1050,40x30,Ratté et al. (1984),
31000000,28500000,"26,000,000 Ethiopia/Afar/Yemen",,,Flood Basalt Affinities,,">350,000",,"Hooper (2000), Bryan et al. (2002)",
28300000,28300000,"28,300,000 Ute Creek",,Colorado,Ute Ridge Tuff,,500,,Steven and Lipman (1976),
28300000,28300000,"28,300,000 Central SJ (concealed)",,Colorado,Masonic Park Tuff,,500,,"Lipman et al. (1996), Lipman (2000)",
28200000,28200000,"28,200,000 Platoro",,Colorado,Chiquito Peak Tuff,,1000,,Lipman et al. (1996),
28200000,28200000,"28,200,000 Lost Lake",,Colorado,Blue Mesa Tuff,,100-500,10,"Lipman (1976), Bove et al. (2001)",
28100000,28100000,"28,100,000 Uncompahgre",,Colorado,Dillon/Sapinero Mesa Tuffs,,>1000,23x20,"Lipman et al. (1973), Bove et al. (2001)",
28000000,28000000,"28,000,000 San Juan",,Colorado,Sapinero Mesa Tuff,,>1000,22x24,"Lipman et al. (1973), Bove et al. (2001)",
28000000,28000000,"28,000,000 Apache",,Colorado,Chapo Formation,,,10x8,Lipman (1984),
27830000,27830000,"27,830,000 La Garita",,Colorado,Fish Canyon Tuff,,>5000,"100x35 Lipman (2000), Lipman and Calvert (2003)",,
27600000,27600000,"27,600,000 Silverton",,Colorado,Crystal Lake Tuff,,50-100,20,Lipman (2000),
27350000,27350000,"27,350,000 Bachelor",,Colorado,Carpenter Ridge Tuff,,1200,28x20,"Steven and Lipman (1976), Lipman (2000)",
27200000,27200000,"27,200,000 Central SJ (concealed)",,Colorado,Blue Creek Tuff,,250,,Lipman (2000),
27100000,27100000,"27,100,000 South River",,Colorado,Wason Park Tuff,,>500,,Lipman (2000),
27000000,27000000,"27,000,000 Three Creeks",,Utah,Three Creeks Tuff Member,,100-200,8,Lipman (1984),
27000000,27000000,"27,000,000 San Luis Complex",,Colorado,Rat Creek Tuff,,150,,Lipman (2000),
27000000,27000000,"27,000,000 Gila Cliff Dwelling",,New Mexico,not known,,,26x18,Lipman (1984),
26900000,26900000,"26,900,000 San Luis Complex",,Colorado,Cebolla Creek Tuff,,250,18,Lipman (2000),
26800000,26800000,"26,800,000 San Luis Complex",,Colorado,Nelson Mountain Tuff,,562,18,Lipman (2000),
26700000,26700000,"26,700,000 Creede",,Colorado,Snowshoe Mountain Tuff,,>500,24,Steven and Ratte (1965), Lipman (2000)
26000000,26000000,"26,000,000 Questa",,Colorado,Amalia Tuff,,400,15,Lipman (1984),
25900000,25900000,"25,900,000 Lake City",,Colorado,,,200-500,20,Lipman (2000),
25000000,25000000,"25,000,000 Turkey Creek",,Colorado,Rhyolite Canyon Formation,,500,21,Latta (1983),
23100000,23100000,"23,100,000 Lake City",,Colorado,Sunshine Peak Tuff,,300,"Lipman (1976), Hon and Lipman (1989)",,
23000000,23000000,"23,000,000 Monroe Peak",,Utah,Osiris Tuff,,200,20x16,Lipman (1984),
22000000,22000000,"22,000,000 Big John",,Utah,Delano Peak Tuff Member,,50,10x6,Lipman (1984),
19000000,19000000,"19,000,000 Oxaya ignimbrites Upper Members",,Chile,Oxaya Ignimbrites,,3000,Schröder and Wörner (1996),,
19000000,19000000,"19,000,000 Mount Belknap",,Utah,Joe Lott Member,,150,17x13,Lipman (1984),
16548000,16548000,"16,548,000 Washburn",,Oregon,Oregon Canyon Tuff,,250,30x25,"Lipman (1984), Jarboe et al. (2006)",
16600000,15950000,"15,300,000 Columbia River Basalts",,Washington,Flood Basalts,,180000,"Hooper (2000), Sigurdsson (2000), Camp and Ross (2000)",,
15800000,15800000,"15,800,000 Pueblo",,Oregon,Trout Creek Mountains Tuff,,300,20x10,Lipman (1984),
20000000,15800000,"11,600,000 Frailes Ignimbrites (W)",,Bolivia,,,550,De Silva and Francis (1991),,
15700000,15700000,"15,700,000 McDermitt Caldera (Calavera)",,Nevada/Oregon,Double H Tuff,,300,17,Lipman (1984),
15600000,15600000,"15,600,000 McDermitt Caldera (Longridge)",,Nevada/Oregon,Longridge Tuff Member 5,,400,33,Lipman (1984),
15600000,15600000,"15,600,000 McDermitt Caldera (Jordan Meadow)",,Nevada/Oregon,Longridge Tuff Member 2-3,,350,10-15,Lipman (1984),
15000000,15000000,"15,000,000 Whitehorse",,Nevada/Oregon,Whitehorse Creek Tuff,,40,15,"Lipman (1984), Pierce and Morgan (1992)",
16000000,15000000,"14,000,000 Unknown",,Bolivia,Huaylillas Ignimbrite,,1100,"De Silva and Francis (1991), Schildgen et al. (2007)",,
14900000,14900000,"14,900,000 Campi Flegrei caldera",,Italy,Neapolitan Yellow Tuff,,79,Deino et al. (2004) Scarpati et al. (1993),,
23030000,14180000,"5,330,000 Pastos Grandes",,Chile,Sifon Ignimbrite,,,50,De Silva and Francis (1991),
23030000,14180000,"5,330,000 Cerro Panizos",,Chile,Panizos Ignimbrite,,,18,Ort (1993),
13250000,13250000,"13,250,000 Crater Flat Group",,"Southwestern Nevada Crater Flat Tuff, Bullfrog Member",,,650,Sawyer et al. (1994),,
13000000,13000000,"13,000,000 Silent Canyon",,Southwestern Nevada Belted Range Tuff,,,200,20x16,Lipman (1984),
12800000,12800000,"12,800,000 Paintbrush",,Southwestern Nevada Paintbrush Tuff - Topopah Spring Member,,,1200,20,"Farmer et al. (1991), Sawyer et al. (1994)",
12700000,12700000,"12,700,000 Paintbrush",,Southwestern Nevada Paintbrush Tuff - Tiva Canyon Member,,,1000,20,"Farmer et al. (1991), Sawyer et al. (1994)",
11600000,11600000,"11,600,000 Timber Mountain",,Southwestern Nevada Timber Mountain Tuff - Rainier Mesa Member,,,1200,30x25,"Farmer et al. (1991), Sawyer et al. (1994)",
11450000,11450000,"11,450,000 Timber Mountain",,Southwestern Nevada Timber Mountain Tuff - Ammonia Tanks Member,,,900,30x25,"Farmer et al. (1991), Sawyer et al. (1994)",
9200000,8600000,"8,000,000 Two intervals of seasonal ice in Arctic",,,,,,Moran et al. (2006),,
8300000,8300000,"8,300,000 Pastos Grandes",,Bolivia,Sifon Ignimbrite,,652,18,De Silva and Francis (1991),
8000000,7000000,"6,000,000 Black Mountain",,Nevada,Thirsty Canyon Tuff,,300,18,Lipman (1984),
6500000,6500000,"6,500,000 Blacktail",,Idaho,Blacktail Tuff,,1500,100x60 Morgan et al. (1984),,
6100000,6100000,"6,100,000 Cerro Panizos",,Argentina/Bolivia,Panizos Ignimbrite,,652,18,Ort (1993),
5600000,5600000,"5,600,000 Blue Creek",,Idaho,Blue Creek Tuff,,500,55x30,Morgan et al. (1984),
5000000,5000000,"5,000,000 Pokolama",,Bolivia,,,400,De Silva and Francis (1991),,
5000000,5000000,"5,000,000 Kari Kari Caldera",,Bolivia,,,470,De Silva and Francis (1991),,
4300000,4300000,"4,300,000 Kilgore",,Idaho,Kilgore Tuff,,800,80x60,Morgan et al. (1984),
4200000,4200000,"4,200,000 Cerro Galan",,Argentina,Real Grande and Cueva Negra,,510,32,Francis et al. (1989),
4000000,4000000,"4,000,000 Frailes Ignimbrites (E)",,Bolivia,Frailles Ignimbrite,,620,De Silva and Francis (1991),,
4100000,4000000,"3,900,000 La Pacana",,Chile,Atana Ignimbrite,,2500,60x35,Lindsay et al. (2001),
5600000,4700000,"3,800,000 Dorobu",,Japan,,,,13x6,Lipman (2000),
3700000,3700000,"3,700,000 Sabatini Volcanic Complex",,Italy,,,,Wikipedia,,
3600000,3600000,"3,600,000 Footprints in ash",,Africa,Laetoli,,,Leakey and Hay (1979),,
2800000,2800000,"2,800,000 Chegem",,Kamchatka,,,>300,Lipman (2000),,
2100000,2100000,"2,100,000 Tenerife",,Canary Islands,San Juan de la Rambla phase,,,Huertasa et al. (2002),,
2063000,2059000,"2,055,000 Yellowstone",,Wyoming,Huckleberry Ridge Tuff,,>2450,"100x50 Christiansen (2001), Lanphere et al. (2002)",,
2130000,2030000,"1,930,000 Cerro Galan",,Argentina,Cerro Galan Ignimbrite,,1000,35x20,Sparks et al. (1985),
2000000,2000000,"2,000,000 Ngorongoro",,Africa,,,,McHenry (2003),,
1900000,1890000,"1,880,000 Unknown",,Africa,KBS Tuff,,,McDougall et al. (1980),,
1750000,1750000,"1,750,000 Ebisutoge-Fukuda Tephra",,Japan,Fukuda Tephra,,380-490,Kataoka et al. (2001),,
1800000,1650000,"1,500,000 Tenerife",,Canary Islands,Adele phase,,,Huertasa et al. (2002),,
1620000,1610000,"1,600,000 Valles Caldera",,New Mexico,Otawi Member of the Bandelier Tuff,,,22,"Min et al. (2004), www.volcano.si.edu/world/volcanocfm?vnum=121002-D",
