Depth ice/snow [m]	Gas age [ka BP]	CH4 [ppbv]
1903.6	130.4710000	542.000
1910.9	130.9900000	492.000
1921.5	131.7940000	477.000
1922.3	131.8570000	491.000
1932.1	132.6810000	453.000
1954.6	134.9210000	431.000
1969.9	136.7670000	399.000
1980.2	137.8330000	352.000
1987.4	138.1110000	357.000
1994.7	138.5580000	374.000
1998.0	138.9250000	377.000
2005.9	139.8400000	348.000
2009.4	140.2680000	339.000
2016.4	141.3420000	318.000
2030.9	142.8560000	319.000
2042.5	144.1020000	345.000
2063.7	146.7700000	355.000
2088.6	149.8440000	356.000
2102.4	151.9440000	400.000
2103.7	152.0900000	404.000
2107.2	152.4760000	410.000
2109.0	152.6810000	418.000
2116.0	153.4530000	410.000
2119.4	153.8470000	376.000
2123.0	154.2770000	383.000
2127.2	154.7840000	395.000
2131.1	155.2620000	492.000
2137.1	155.9810000	445.000
2143.5	156.8150000	414.000
2149.3	157.5990000	380.000
2153.4	158.1680000	382.000
2157.2	158.6940000	350.000
2164.0	159.7160000	377.000
2167.3	160.1660000	406.000
2172.2	160.6900000	364.000
2177.3	161.2260000	403.000
2180.4	161.5560000	381.000
2188.1	162.2850000	419.000
2196.4	163.1440000	376.000
2201.4	163.6770000	396.000
2207.3	164.3350000	385.000
2217.0	165.3340000	431.000
2225.0	166.1430000	405.000
2231.0	166.7790000	369.000
2240.2	167.9200000	369.000
2247.0	168.7460000	420.000
2254.0	169.5090000	385.000
2262.0	170.3080000	440.000
2266.0	170.6610000	463.000
2273.0	171.3110000	478.000
2279.0	171.8470000	394.000
2286.2	172.5360000	406.000
2293.0	173.3630000	433.000
2302.0	174.4420000	456.000
2307.2	174.9030000	460.000
2312.3	175.4130000	402.000
2316.0	175.8280000	432.000
2325.0	176.8530000	468.000
2331.0	177.5300000	411.000
2340.0	178.5980000	438.000
2348.0	179.8730000	503.000
2354.2	180.5140000	523.000
2363.0	181.3020000	522.000
2373.0	182.3430000	464.000
2379.2	183.2580000	426.000
2386.0	184.3710000	470.000
2391.0	185.1710000	458.000
2399.0	186.4110000	510.000
2405.0	187.2510000	479.000
2414.0	188.4370000	445.000
2419.2	189.1000000	395.000
2425.0	189.8060000	440.000
2430.2	190.3680000	400.000
2437.5	191.3300000	414.000
2442.0	191.9580000	412.000
2449.7	192.9040000	424.000
2461.0	194.1870000	476.000
2470.3	195.1260000	462.000
2475.0	195.8000000	460.000
2478.3	196.2770000	437.000
2488.0	197.5810000	489.000
2494.1	198.3270000	504.000
2501.0	199.2460000	558.000
2525.0	201.7520000	612.000
2543.0	203.8420000	482.000
2552.0	205.2020000	425.000
2554.9	205.5740000	421.000
2557.7	205.9430000	413.000
2560.9	206.3590000	436.000
2564.9	206.8960000	466.000
2567.5	207.2390000	463.000
2570.4	207.6220000	455.000
2574.2	208.1070000	496.000
2575.5	208.2730000	475.000
2579.9	208.8200000	476.000
2581.9	209.0810000	485.000
2584.7	209.4440000	515.000
2588.5	209.9260000	473.000
2590.4	210.1730000	498.000
2595.1	210.8300000	567.000
2596.7	211.0570000	503.000
2600.4	211.5760000	509.000
2603.7	212.0770000	586.000
2606.6	212.5320000	551.000
2609.7	213.0270000	554.000
2612.5	213.3290000	545.000
2615.5	213.5820000	569.000
2621.7	214.1580000	581.000
2629.0	215.0220000	558.000
2633.5	215.7540000	568.000
2636.7	216.3040000	586.000
2639.5	216.7360000	544.000
2643.7	217.3230000	557.000
2646.4	217.6660000	541.000
2649.4	218.0660000	483.000
2656.2	219.0660000	440.000
2659.5	219.5800000	431.000
2666.7	220.9330000	476.000
2669.4	221.4900000	473.000
2674.6	222.5380000	498.000
2676.9	223.0200000	480.000
2682.6	224.2690000	482.000
2691.0	226.2570000	494.000
2693.6	226.8480000	532.000
2698.0	227.7180000	532.000
2700.5	228.2280000	512.000
2702.9	228.8180000	506.000
2705.6	229.5700000	497.000
2707.9	230.1870000	483.000
2711.8	231.1520000	484.000
2714.7	231.9810000	476.000
2717.7	232.8530000	445.000
2732.5	235.9380000	439.000
2735.7	236.4260000	460.000
2738.7	236.8490000	495.000
2741.9	237.4260000	502.000
2744.8	237.9380000	514.000
2747.6	238.4230000	541.000
2751.1	239.0060000	540.000
2753.6	239.3850000	550.000
2756.2	239.7380000	540.000
2759.2	240.2060000	554.000
2761.5	240.6680000	538.000
2765.2	241.3310000	582.000
2768.2	241.8560000	587.000
2771.2	242.3420000	619.000
2773.5	242.6840000	631.000
2776.5	243.1370000	650.000
2780.0	243.6880000	500.000
2782.8	244.1370000	554.000
2785.5	244.5810000	538.000
2788.5	245.0550000	522.000
2791.5	245.5640000	488.000
2794.6	246.2100000	498.000
2797.5	246.8680000	484.000
2800.5	247.6390000	470.000
2806.5	249.0970000	509.000
2809.9	249.8800000	457.000
2815.6	251.3880000	402.000
2818.5	252.0990000	437.000
2821.5	252.9510000	401.000
2824.5	253.7540000	380.000
2827.5	254.5840000	423.000
2830.4	255.3550000	405.000
2833.8	256.2960000	399.000
2836.5	257.0570000	424.000
2839.5	257.9050000	447.000
2842.4	258.7060000	465.000
2845.5	259.3950000	467.000
2847.7	259.9290000	417.000
2849.0	260.2850000	432.000
2850.7	260.7130000	429.000
2851.5	260.8920000	421.000
2853.7	261.3280000	417.000
2854.4	261.4660000	410.000
2856.4	261.8540000	433.000
2857.5	262.0530000	511.000
2859.7	262.6030000	482.000
2860.5	262.8140000	486.000
2862.5	263.3700000	426.000
2863.0	263.5030000	407.000
2863.4	263.6220000	400.000
2863.8	263.7270000	388.000
2865.5	264.2420000	387.000
2866.5	264.5800000	398.000
2868.9	265.5030000	376.000
2870.4	266.0910000	408.000
2871.4	266.4900000	411.000
2872.7	267.0030000	385.000
2874.6	267.7400000	427.000
2876.2	268.2550000	402.000
2878.5	268.9960000	410.000
2879.4	269.2860000	415.000
2879.7	269.3660000	423.000
2881.1	269.8220000	382.000
2881.5	269.9670000	457.000
2882.4	270.2770000	395.000
2883.9	270.8110000	406.000
2884.5	271.0320000	445.000
2885.7	271.4750000	417.000
2887.0	271.9780000	461.000
2887.5	272.1460000	426.000
2888.4	272.4650000	464.000
2888.7	272.5480000	424.000
2890.1	273.0290000	454.000
2890.5	273.1620000	448.000
2891.7	273.5480000	421.000
2892.7	273.8880000	469.000
2893.5	274.1600000	454.000
2894.4	274.4610000	435.000
2896.1	275.0020000	441.000
2896.4	275.1170000	448.000
2896.9	275.2970000	460.000
2899.1	276.0790000	442.000
2899.5	276.2540000	441.000
2900.7	276.7160000	452.000
2902.5	277.4390000	442.000
2903.4	277.8030000	433.000
2903.7	277.9070000	453.000
2905.5	278.5870000	443.000
2906.4	278.9090000	445.000
2908.5	279.6150000	411.000
2909.7	279.9980000	397.000
2911.1	280.4360000	358.000
2911.4	280.5410000	417.000
2912.4	280.8350000	450.000
2912.5	280.8620000	421.000
2914.0	281.2630000	541.000
2914.5	281.3980000	453.000
2915.4	281.6560000	499.000
2915.7	281.7240000	472.000
2917.0	282.0420000	529.000
2917.5	282.1540000	429.000
2919.2	282.5360000	425.000
2919.4	282.5910000	441.000
2920.1	282.7550000	441.000
2921.4	283.0660000	449.000
2921.7	283.1260000	455.000
2922.9	283.4560000	461.000
2923.5	283.6170000	460.000
2924.7	283.9340000	442.000
2926.1	284.3140000	462.000
2926.5	284.4320000	484.000
