interval_midpoint,δD H2O [‰ SMOW],CO2,CH4,Milan_ECC,Milan_OMEGA,Milan_OBL,Milan_PREC,Milan_90SDec,Volume – km3,delta-iso18o-Base at 6.6m,0.6*iso18o-Base at 6.6m
3.675,-394.9714285714286,273.34698474292685,604.2327313687549,0.018589421401321426,39.09703859107143,23.88680533128571,0.01159357019607143,563.9300012696428,52.5,-0.2232857142857121,-0.13397142857142724
4.0249999999999995,-394.2357142857143,273.5119216431925,594.2905372611548,0.018702093780892857,33.09699819964286,23.924604591571427,0.01016972438964286,563.1888317717857,0.0,-0.2289999999999987,-0.13739999999999922
4.375,-368.85714285714283,271.49411544850904,593.3487001686726,0.018809257625392855,26.98072035107143,23.960033443428568,0.008435181926428571,562.0446906828571,0.0,-0.6539999999999986,-0.3923999999999991
4.725,-397.09230769230766,270.47209220261306,592.4928618335039,0.01890565344676923,21.42553848,23.991834126769227,0.006825272332307693,560.9581673353846,0.0,-0.6255384615384603,-0.37532307692307615
5.074999999999999,-393.7285714285714,269.40427568316284,591.5621962877252,0.0190076638105,49.154002907142875,24.025008447464284,0.0050192740560714285,559.680989095,0.0,-0.20328571428571302,-0.1219714285714278
5.425,-396.16923076923075,266.0928096977966,590.6480780232395,0.01910050568626923,164.6659277896154,24.05391555780769,0.0031007433326923073,558.1764580423077,0.0,-0.49015384615384394,-0.2940923076923064
5.7749999999999995,-394.09230769230766,265.53688374340766,589.7739103919787,0.019188815447846154,280.8254076630768,24.081322035538463,0.0012567272384615398,556.7215462615385,0.0,-0.12246153846153672,-0.07347692307692202
6.125,-395.8076923076923,264.8263056220199,588.8813862302812,0.019275027977384614,356.3237196546154,24.107148579884615,-0.0006403806949999995,555.1750122265385,0.0,-0.4263076923076902,-0.2557846153846141
6.475,-396.4846153846154,261.41198597939035,586.4376180094313,0.019355671194307693,352.2142313623077,24.129474935269233,-0.0026059585626923088,553.479612085,0.0,-0.4955384615384594,-0.2973230769230756
6.824999999999999,-395.2923076923077,260.81689920397565,577.3011438288673,0.019437886994615385,346.22113223461537,24.15219245903846,-0.004614476140384616,551.7451471749999,0.0,-0.33861538461538304,-0.20316923076922982
7.175,-395.425,260.8346808179945,583.5969523293948,0.01951326968641667,340.32297812083334,24.170916733583336,-0.006527372433333334,550.0344304991667,0.0,-0.37316666666666504,-0.223899999999999
7.5249999999999995,-398.4307692307693,259.7457427253519,595.0341091545088,0.01958164543773077,334.57872084038456,24.18584138996154,-0.0083322146,548.364951495,0.0,-0.7570769230769208,-0.45424615384615247
7.874999999999999,-394.375,260.0419326422121,606.2934972696888,0.01964887990154167,328.9238697270833,24.200484997791666,-0.010106942869999998,546.7226236429166,0.0,-0.2748333333333311,-0.16489999999999866
8.224999999999998,-395.7923076923077,259.149852515593,616.981234818957,0.019711085672884616,323.11143271153844,24.21116951803846,-0.01174996081076923,545.1390296553847,0.0,-0.44861538461538303,-0.26916923076922983
8.575,-396.69166666666666,261.03552530598716,624.5248938819312,0.019767807374374998,317.4392625625,24.21907617945833,-0.013248788801666668,543.65395238,0.0,-0.5881666666666643,-0.3528999999999986
8.925,-397.9692307692308,260.06913593520073,632.0314013628123,0.01982560204188461,311.61259514923074,24.226865997192306,-0.014770785721153847,542.1410145630769,0.0,-0.7555384615384596,-0.4533230769230757
9.274999999999999,-399.77500000000003,263.2950536153632,639.5455499697847,0.0198753292985,305.78984656583333,24.229,-0.015991444729583332,540.8432364633333,0.0,-0.9564999999999978,-0.5738999999999986
9.625,-397.0076923076923,263.46037678614624,646.9342083201759,0.019921215387692308,300.0679902923077,24.229,-0.01707950123846154,539.6474171692308,0.0,-0.6355384615384594,-0.38132307692307565
9.974999999999998,-400.8416666666667,264.2182386889305,654.257642011711,0.0199658128975,294.3980251816667,24.2283925855,-0.018116814212916665,538.4947336816667,0.0,-1.1048333333333318,-0.662899999999999
10.325,-399.5076923076923,265.1199150851951,661.7009808337486,0.020002759153846153,288.64832285384614,24.22201298615385,-0.018780850123076922,537.6322431230769,0.0,-0.8855384615384594,-0.5313230769230757
10.675,-397.5692307692307,266.685543049433,659.661025619096,0.020038841153846153,282.72726665384613,24.214074946153843,-0.01937259492307692,536.816789923077,0.0,-0.6832307692307674,-0.4099384615384605
11.024999999999999,-400.325,265.86664729000165,638.6932512509876,0.02007247116333333,276.8904826625,24.204785245,-0.019855574737500003,536.0937207458334,0.0,-1.0273333333333319,-0.6163999999999991
11.375,-402.3384615384615,264.2490913876521,575.180786269812,0.020096484883076922,271.3111414,24.189760226153847,-0.019896252223076925,535.7414567461539,0.0,-1.3132307692307672,-0.7879384615384603
11.724999999999998,-399.0833333333333,254.394180112631,494.58119953863894,0.02011958951333333,265.7456437,24.174130623333337,-0.019892854483333333,535.42546695,0.0,-0.9148333333333311,-0.5488999999999986
12.075,-399.7181818181818,250.2704425878089,481.35663821321754,0.02014076458,260.02045292727274,24.15626100181818,-0.01975614627727273,535.2075374954545,0.0,-0.9949090909090885,-0.5969454545454531
12.425,-396.43,244.77234625550386,493.06004535147383,0.02015380518,254.3418682,24.13303466,-0.019211429250000002,535.32038945,0.0,-0.5149999999999977,-0.3089999999999986
12.774999999999999,-396.7,238.4146194140766,535.0707971651018,0.020166603863999998,248.52557736,24.108859368,-0.018624822899999997,535.45904186,0.0,-0.5409999999999983,-0.3245999999999989
13.125,-394.9,235.6257905133642,621.1760591465991,0.020175504775,242.73486692222227,24.082174089444447,-0.017853162716666666,535.7435757333333,0.0,-0.2862222222222215,-0.1717333333333329
