
Depth ice/snow [m]	δD H2O [‰ SMOW]	δ18O H2O [‰ SMOW]
547.80	-445.4	-56.56
548.35	-443.4	-56.22
548.90	-442.8	-56.24
549.45	-449.3	-57.05
550.00	-443.8	-56.28
550.55	-442.1	-55.99
551.10	-440.0	-55.80
551.65	-439.7	-55.70
552.20	-444.3	-56.42
552.75	-441.7	-55.96
553.30	-446.2	-56.59
553.85	-446.4	-56.69
554.40	-433.5	-54.95
554.95	-439.7	-55.77
555.50	-445.2	-56.29
556.05	-447.1	-56.75
556.60	-446.2	-56.54
557.15	-445.6	-56.48
557.70	-445.2	-56.46
558.25	-443.1	-56.23
558.80	-444.9	-56.58
559.35	-442.2	-56.01
559.90	-444.9	-56.35
560.45	-445.6	-56.48
561.00	-444.9	-56.38
561.55	-442.0	-56.16
562.10	-442.0	-56.09
562.65	-447.2	-56.82
563.20	-448.9	-57.05
563.75	-447.9	-56.82
564.30	-443.2	-56.18
564.85	-445.2	-56.50
565.40	-445.0	-56.32
565.95	-444.0	-56.16
566.50	-443.2	-56.26
567.05	-441.8	-56.03
567.60	-447.2	-56.79
568.15	-446.2	-56.75
568.70	-443.2	-56.19
569.25	-448.9	-56.98
569.80	-439.6	-55.88
570.35	-443.7	-56.46
570.90	-447.3	-56.76
571.45	-439.9	-55.78
572.00	-445.2	-56.51
572.55	-445.9	-56.71
573.10	-441.1	-55.93
573.65	-448.6	-56.99
574.20	-445.9	-56.64
574.75	-440.2	-55.73
575.30	-445.8	-56.64
575.85	-442.2	-56.21
576.40	-443.7	-56.34
576.95	-446.0	-56.70
577.50	-447.4	-56.82
578.05	-446.9	-56.79
578.60	-440.5	-55.90
579.15	-443.1	-56.29
579.70	-444.6	-56.39
580.25	-447.1	-56.80
580.80	-443.8	-56.32
581.35	-444.8	-56.53
581.90	-444.5	-56.46
582.45	-445.9	-56.60
583.00	-441.6	-56.13
583.55	-439.0	-55.81
584.10	-435.9	-55.52
584.65	-439.3	-55.99
585.20	-427.6	-54.18
585.75	-441.8	-56.01
586.30	-440.5	-55.74
586.85	-438.4	-55.60
587.40	-449.5	-56.98
587.95	-441.2	-55.86
588.50	-433.4	-54.92
589.05	-432.5	-54.72
589.60	-438.0	-55.36
590.15	-440.0	-55.93
590.70	-442.8	-56.13
591.25	-436.6	-55.37
591.80	-439.2	-55.72
592.35	-445.7	-56.59
592.90	-447.8	-56.92
593.45	-441.3	-55.88
594.00	-443.0	-56.06
594.55	-446.1	-56.67
595.10	-443.0	-56.30
595.65	-438.7	-55.61
596.20	-439.8	-55.84
596.75	-435.6	-55.32
597.30	-433.4	-54.97
597.85	-438.6	-55.64
598.40	-438.1	-55.43
598.95	-438.0	-55.50
599.50	-439.7	-55.88
600.05	-443.3	-56.28
600.60	-441.4	-56.13
601.15	-440.0	-55.86
601.70	-442.2	-56.05
602.25	-436.6	-55.42
602.80	-439.8	-55.81
603.35	-436.2	-55.25
603.90	-438.9	-55.68
604.45	-436.1	-55.48
605.00	-435.1	-55.46
605.55	-435.9	-55.48
606.10	-430.8	-54.82
606.65	-438.2	-55.70
607.20	-431.8	-54.85
607.75	-434.1	-55.21
608.30	-443.2	-56.47
608.85	-439.9	-56.04
609.40	-437.1	-55.64
609.95	-436.7	-55.52
610.50	-437.1	-55.62
611.05	-436.6	-55.53
611.60	-433.5	-55.19
612.15	-436.8	-55.35
612.70	-440.1	-55.86
613.25	-445.7	-56.60
613.80	-443.4	-56.36
614.35	-443.0	-56.28
614.90	-445.9	-56.60
615.45	-437.1	-55.48
616.00	-447.0	-56.93
616.55	-442.3	-56.15
617.10	-441.9	-56.28
617.65	-436.6	-55.59
618.20	-446.5	-56.67
618.75	-438.4	-55.82
619.30	-441.2	-56.01
619.85	-442.0	-56.17
620.40	-442.0	-56.21
620.95	-442.6	-56.00
621.50	-440.1	-55.71
622.05	-440.1	-55.71
622.60	-440.1	-55.71
623.15	-440.1	-55.71
623.70	-440.1	-55.71
624.25	-432.2	-54.71
624.80	-439.0	-55.69
625.35	-439.5	-55.89
625.90	-438.0	-55.61
626.45	-444.0	-56.26
627.00	-446.6	-56.78
627.55	-442.7	-56.34
628.10	-443.8	-56.46
628.65	-447.3	-56.79
629.20	-443.5	-56.24
629.75	-440.4	-56.03
630.30	-441.4	-55.97
630.85	-440.4	-56.01
631.40	-446.3	-56.84
631.95	-440.5	-55.81
632.50	-449.3	-57.36
633.05	-442.2	-56.42
633.60	-431.9	-54.87
634.15	-436.8	-55.61
634.70	-440.3	-55.99
635.25	-438.0	-55.89
635.80	-429.3	-54.71
636.35	-435.7	-55.52
636.90	-428.3	-54.24
637.45	-437.4	-55.54
638.00	-438.9	-55.90
638.55	-436.9	-55.54
639.10	-439.9	-55.96
639.65	-436.2	-55.60
640.20	-437.3	-55.37
640.75	-433.7	-55.34
641.30	-441.2	-55.84
641.85	-434.7	-55.35
642.40	-435.6	-55.27
642.95	-442.1	-56.40
643.50	-445.8	-56.64
644.05	-443.9	-56.53
644.60	-443.0	-56.31
645.15	-446.5	-56.72
645.70	-442.6	-56.29
646.25	-438.7	-55.77
646.80	-442.7	-56.32
647.35	-439.6	-55.88
647.90	-436.2	-55.37
648.45	-435.3	-55.27
649.00	-434.7	-55.29
649.55	-432.3	-55.03
650.10	-435.5	-55.42
650.65	-433.7	-55.08
651.20	-432.0	-54.93
651.75	-437.0	-55.50
652.30	-435.5	-55.39
652.85	-438.0	-55.68
653.40	-436.0	-55.37
653.95	-435.9	-55.54
654.50	-433.5	-54.95
655.05	-443.2	-56.28
655.60	-435.8	-55.33
656.15	-439.9	-55.77
656.70	-444.5	-56.36
657.25	-444.5	-56.36
657.80	-444.5	-56.36
658.35	-444.5	-56.36
658.90	-444.5	-56.36
659.45	-442.3	-55.97
660.00	-438.5	-55.42
660.55	-442.1	-56.02
661.10	-441.2	-56.05
661.65	-444.9	-56.62
662.20	-441.9	-56.33
662.75	-436.5	-55.50
663.30	-435.5	-55.42
663.85	-438.7	-55.82
664.40	-431.6	-54.89
664.95	-437.4	-55.69
665.50	-433.8	-55.04
666.05	-433.4	-55.09
666.60	-438.3	-55.79
667.15	-431.4	-54.84
667.70	-431.7	-54.96
668.25	-437.6	-55.73
668.80	-435.6	-55.43
669.35	-433.5	-55.17
669.90	-429.5	-54.67
670.45	-433.5	-54.91
671.00	-437.9	-55.38
671.55	-433.7	-55.15
672.10	-429.9	-54.53
672.65	-432.5	-54.99
673.20	-436.5	-55.43
673.75	-436.9	-55.64
674.30	-435.8	-55.24
674.85	-428.2	-54.31
675.40	-438.6	-55.73
675.95	-439.5	-55.77
676.50	-434.3	-55.12
677.05	-433.1	-55.09
677.60	-434.8	-55.23
678.15	-439.6	-55.80
678.70	-436.6	-55.47
679.25	-443.0	-56.27
679.80	-435.3	-55.10
680.35	-435.6	-55.30
680.90	-436.0	-55.42
681.45	-435.8	-55.50
682.00	-442.0	-56.26
682.55	-439.7	-55.78
683.10	-438.8	-55.67
683.65	-437.5	-55.68
684.20	-434.6	-55.31
684.75	-434.6	-55.27
685.30	-436.1	-55.46
685.85	-436.8	-55.59
686.40	-435.9	-55.36
686.95	-434.2	-55.08
687.50	-438.3	-55.67
688.05	-436.1	-55.32
688.60	-435.3	-55.33
689.15	-439.6	-55.82
689.70	-440.7	-55.96
690.25	-438.9	-55.80
690.80	-436.7	-55.50
691.35	-429.6	-54.55
691.90	-427.3	-54.20
692.45	-435.1	-55.26
693.00	-434.9	-55.30
693.55	-435.0	-55.37
694.10	-427.3	-54.43
694.65	-434.4	-55.00
695.20	-428.6	-54.38
695.75	-435.1	-55.27
696.30	-428.6	-54.36
696.85	-436.5	-55.43
697.40	-428.7	-54.36
697.95	-430.7	-54.91
698.50	-423.8	-53.92
699.05	-424.6	-54.00
699.60	-425.2	-54.01
700.15	-418.3	-53.17
700.70	-426.0	-54.27
701.25	-418.8	-53.20
701.80	-415.4	-52.58
702.35	-424.5	-53.81
702.90	-430.6	-54.70
703.45	-431.0	-54.44
704.00	-434.8	-55.06
704.55	-423.4	-53.63
705.10	-420.5	-53.35
705.65	-430.4	-54.62
706.20	-431.1	-54.74
706.75	-433.4	-54.81
707.30	-422.5	-53.60
707.85	-431.3	-54.64
708.40	-425.3	-54.08
708.95	-427.0	-54.37
709.50	-429.8	-54.61
710.05	-427.3	-54.26
710.60	-425.9	-54.16
711.15	-426.0	-54.10
711.70	-425.6	-54.04
712.25	-428.5	-54.44
712.80	-430.7	-54.67
713.35	-432.8	-54.99
713.90	-424.4	-53.94
714.45	-428.9	-54.34
715.00	-427.1	-54.26
715.55	-426.3	-54.06
716.10	-434.3	-55.40
716.65	-428.8	-54.43
717.20	-423.2	-53.91
717.75	-436.0	-55.44
718.30	-434.0	-55.08
718.85	-436.9	-55.29
719.40	-436.0	-55.29
719.95	-435.5	-55.20
720.50	-436.9	-55.46
721.05	-435.5	-55.26
721.60	-435.9	-55.28
722.15	-441.9	-56.07
722.70	-443.0	-56.28
723.25	-442.4	-56.09
723.80	-436.8	-55.30
724.35	-443.3	-56.32
724.90	-434.7	-55.22
725.45	-438.7	-55.84
726.00	-434.2	-55.15
726.55	-436.5	-55.27
727.10	-430.9	-54.76
727.65	-437.3	-55.45
728.20	-434.2	-55.07
728.75	-433.3	-54.90
729.30	-439.6	-55.80
729.85	-439.0	-55.61
730.40	-438.3	-55.57
730.95	-430.9	-54.47
731.50	-433.0	-54.89
732.05	-431.3	-54.59
732.60	-439.1	-55.72
733.15	-441.2	-55.94
733.70	-440.2	-55.78
734.25	-440.1	-55.70
734.80	-440.8	-55.77
735.35	-438.4	-55.39
735.90	-436.7	-55.21
736.45	-444.3	-56.22
737.00	-436.8	-55.31
737.55	-436.0	-55.30
738.10	-434.5	-54.91
738.65	-433.3	-54.65
739.20	-439.4	-55.63
739.75	-431.7	-54.60
740.30	-426.5	-54.00
740.85	-433.2	-54.93
741.40	-433.4	-54.86
741.95	-434.9	-55.11
742.50	-439.4	-55.83
743.05	-427.8	-54.05
743.60	-441.0	-55.62
744.15	-434.7	-54.99
744.70	-440.4	-55.85
745.25	-435.7	-55.04
745.80	-437.3	-55.53
746.35	-441.9	-55.87
746.90	-438.2	-55.43
747.45	-440.9	-55.80
748.00	-440.5	-55.81
748.55	-440.6	-55.85
749.10	-442.5	-56.16
749.65	-442.4	-55.82
750.20	-437.4	-55.50
750.75	-441.5	-55.97
751.30	-433.2	-54.83
751.85	-437.2	-55.36
752.40	-438.3	-55.60
752.95	-433.3	-54.80
753.50	-433.4	-54.81
754.05	-434.7	-54.87
754.60	-438.9	-55.78
755.15	-430.8	-54.67
755.70	-439.3	-55.70
756.25	-433.8	-55.04
756.80	-435.8	-55.15
757.35	-432.6	-54.97
757.90	-428.6	-54.45
758.45	-430.5	-54.35
759.00	-430.2	-54.57
759.55	-431.3	-54.75
760.10	-427.8	-54.35
760.65	-429.1	-54.45
761.20	-433.2	-54.98
761.75	-429.1	-54.46
762.30	-436.4	-55.47
762.85	-435.8	-55.36
763.40	-426.9	-54.16
763.95	-429.7	-54.45
764.50	-432.3	-54.72
765.05	-435.6	-55.22
765.60	-436.6	-55.40
766.15	-432.4	-54.66
766.70	-433.6	-54.92
767.25	-435.1	-55.15
767.80	-431.5	-54.68
768.35	-438.8	-55.67
768.90	-440.4	-55.84
769.45	-436.4	-55.31
770.00	-435.9	-55.16
770.55	-440.8	-55.95
771.10	-440.3	-55.79
771.65	-438.3	-55.37
772.20	-441.3	-55.96
772.75	-441.0	-56.03
773.30	-439.0	-55.79
773.85	-436.6	-55.49
774.40	-430.5	-54.73
774.95	-434.1	-55.20
775.50	-440.8	-55.89
776.05	-438.2	-55.52
776.60	-439.2	-55.72
777.15	-435.8	-55.35
777.70	-433.8	-55.00
778.25	-435.9	-55.22
778.80	-435.3	-55.15
779.35	-435.2	-55.05
779.90	-433.8	-55.05
780.45	-434.3	-55.10
781.00	-434.9	-55.11
781.55	-431.5	-54.65
782.10	-431.1	-54.60
782.65	-428.1	-54.27
783.20	-430.7	-54.64
783.75	-430.4	-54.61
784.30	-429.9	-54.59
784.85	-427.9	-54.30
785.40	-429.1	-54.57
785.95	-427.5	-54.34
786.50	-430.3	-54.70
787.05	-429.8	-54.50
787.60	-419.9	-53.40
788.15	-430.7	-54.78
788.70	-425.5	-54.00
789.25	-428.5	-54.37
789.80	-420.9	-53.36
790.35	-424.4	-53.99
790.90	-420.4	-53.44
791.45	-426.0	-54.17
792.00	-413.7	-52.57
792.55	-419.1	-53.23
793.10	-424.5	-53.89
793.65	-429.5	-54.66
794.20	-423.1	-53.71
794.75	-419.7	-53.29
795.30	-426.6	-54.22
795.85	-426.2	-54.20
796.40	-425.0	-53.93
796.95	-425.4	-53.95
797.50	-422.5	-53.44
798.05	-422.6	-53.58
798.60	-417.3	-52.73
799.15	-415.6	-52.57
799.70	-412.3	-52.25
800.25	-422.1	-53.38
800.80	-421.3	-53.40
801.35	-418.5	-53.38
801.90	-422.3	-53.37
802.45	-419.7	-52.98
803.00	-427.8	-54.25
803.55	-427.2	-53.86
804.10	-429.5	-54.39
804.65	-423.5	-53.61
805.20	-426.9	-53.92
805.75	-426.9	-54.08
806.30	-425.3	-53.82
806.85	-428.8	-54.26
807.40	-429.1	-54.31
807.95	-425.7	-53.83
808.50	-426.9	-54.17
809.05	-418.0	-53.03
809.60	-428.3	-54.28
810.15	-428.1	-54.08
810.70	-431.2	-54.61
811.25	-427.8	-54.18
811.80	-430.1	-54.57
812.35	-428.7	-54.21
812.90	-430.3	-54.58
813.45	-431.5	-54.79
814.00	-425.7	-53.86
814.55	-425.9	-53.86
815.10	-431.1	-54.58
815.65	-434.3	-55.00
816.20	-428.2	-54.07
816.75	-431.8	-54.66
817.30	-442.1	-56.03
817.85	-435.9	-55.23
818.40	-436.5	-55.14
818.95	-439.7	-55.82
819.50	-436.0	-55.29
820.05	-432.2	-54.85
820.60	-436.3	-55.34
821.15	-429.1	-54.43
821.70	-428.1	-54.06
822.25	-429.1	-54.50
822.80	-432.2	-54.69
823.35	-430.3	-54.73
823.90	-439.5	-55.64
824.45	-433.7	-55.01
825.00	-429.9	-54.59
825.55	-438.3	-55.65
826.10	-437.4	-55.54
826.65	-430.8	-54.73
827.20	-430.4	-54.59
827.75	-427.5	-54.22
828.30	-433.8	-55.21
828.85	-434.4	-55.02
829.40	-433.9	-55.13
829.95	-437.4	-55.70
830.50	-432.0	-54.91
831.05	-436.7	-55.57
831.60	-434.2	-55.00
832.15	-438.8	-55.64
832.70	-432.5	-54.91
833.25	-436.2	-55.53
833.80	-431.3	-54.74
834.35	-428.8	-54.25
834.90	-433.6	-55.09
835.45	-433.1	-55.07
836.00	-424.9	-53.94
836.55	-434.6	-55.21
837.10	-434.4	-55.24
837.65	-426.1	-53.88
838.20	-434.4	-55.30
838.75	-433.3	-54.99
839.30	-437.5	-55.56
839.85	-430.7	-54.59
840.40	-428.2	-54.18
840.95	-430.1	-54.65
841.50	-427.3	-54.06
842.05	-430.5	-54.52
842.60	-433.6	-55.05
843.15	-433.4	-54.90
843.70	-430.7	-54.55
844.25	-430.7	-54.69
844.80	-422.1	-53.55
845.35	-431.4	-54.71
845.90	-433.0	-54.78
846.45	-437.1	-55.63
847.00	-425.8	-54.11
847.55	-430.5	-54.49
848.10	-433.3	-55.19
848.65	-427.9	-54.27
849.20	-433.4	-54.98
849.75	-432.6	-54.99
850.30	-428.5	-54.54
850.85	-428.6	-54.61
851.40	-435.5	-55.40
851.95	-432.7	-54.88
852.50	-432.7	-55.04
853.05	-431.7	-54.81
853.60	-430.1	-54.75
854.15	-430.5	-54.75
854.70	-429.0	-54.83
855.25	-431.7	-55.06
855.80	-428.0	-54.45
856.35	-426.9	-54.27
856.90	-424.2	-53.88
857.45	-432.9	-55.06
858.00	-427.8	-54.55
858.55	-432.5	-54.98
859.10	-425.0	-54.12
859.65	-428.2	-54.42
860.20	-421.2	-53.45
860.75	-429.2	-54.72
861.30	-425.9	-54.18
861.85	-424.1	-54.09
862.40	-415.9	-52.85
862.95	-426.5	-54.16
863.50	-419.7	-53.43
864.05	-425.7	-54.10
864.60	-432.0	-54.96
865.15	-426.2	-54.22
865.70	-429.5	-54.74
866.25	-426.2	-54.24
866.80	-428.8	-54.44
867.35	-424.7	-53.82
867.90	-422.2	-53.72
868.45	-430.6	-54.63
869.00	-424.1	-53.83
869.55	-426.4	-54.08
870.10	-419.9	-53.47
870.65	-428.6	-54.36
871.20	-424.9	-53.98
871.75	-415.8	-52.83
872.30	-424.9	-53.92
872.85	-425.3	-54.12
873.40	-428.0	-54.41
873.95	-429.2	-54.49
874.50	-426.2	-54.13
875.05	-413.6	-52.54
875.60	-422.7	-53.74
876.15	-425.3	-54.10
876.70	-418.6	-53.18
877.25	-420.6	-53.43
877.80	-418.3	-53.18
878.35	-419.2	-53.39
878.90	-417.8	-53.03
879.45	-417.6	-53.07
880.00	-418.0	-53.28
880.55	-419.8	-53.48
881.10	-425.2	-54.11
881.65	-425.9	-54.09
882.20	-424.6	-53.96
882.75	-431.3	-54.80
883.30	-429.4	-54.39
883.85	-428.1	-54.33
884.40	-421.3	-53.49
884.95	-425.6	-53.99
885.50	-421.3	-53.54
886.05	-427.2	-54.27
886.60	-425.6	-54.28
887.15	-428.1	-54.38
887.70	-427.1	-54.28
888.25	-430.0	-54.67
888.80	-422.0	-53.45
889.35	-423.8	-53.80
889.90	-423.0	-53.74
890.45	-420.5	-53.70
891.00	-430.3	-54.93
891.55	-429.5	-54.70
892.10	-429.2	-54.50
892.65	-432.5	-54.94
893.20	-432.5	-54.99
893.75	-428.8	-54.39
894.30	-433.8	-55.24
894.85	-435.5	-55.32
895.40	-432.3	-55.06
895.95	-432.4	-55.10
896.50	-423.6	-53.79
897.05	-427.6	-54.41
897.60	-428.6	-54.56
898.15	-424.8	-54.00
898.70	-422.7	-53.74
899.25	-429.6	-54.47
899.80	-428.9	-54.51
900.35	-424.2	-53.83
900.90	-430.3	-54.70
901.45	-429.1	-54.66
902.00	-426.0	-54.09
902.55	-427.5	-54.48
903.10	-434.9	-55.16
903.65	-428.7	-54.57
904.20	-428.6	-54.48
904.75	-428.8	-54.48
905.30	-431.1	-54.60
905.85	-432.2	-54.94
906.40	-435.5	-55.32
906.95	-438.0	-55.78
907.50	-431.9	-54.89
908.05	-432.1	-54.90
908.60	-436.8	-55.54
909.15	-438.3	-55.71
909.70	-428.4	-54.55
910.25	-440.1	-56.05
910.80	-432.2	-54.99
911.35	-431.7	-54.80
911.90	-427.0	-54.38
912.45	-429.2	-54.70
913.00	-436.5	-55.63
913.55	-427.7	-54.36
914.10	-429.9	-54.82
914.65	-430.5	-54.65
915.20	-431.2	-54.82
915.75	-427.7	-54.25
916.30	-426.6	-54.26
916.85	-433.6	-55.08
917.40	-427.0	-54.41
917.95	-431.0	-54.92
918.50	-426.0	-54.42
919.05	-424.6	-54.26
919.60	-427.2	-54.47
920.15	-419.7	-53.61
920.70	-428.8	-54.66
921.25	-425.3	-54.26
921.80	-426.0	-54.28
922.35	-422.1	-53.79
922.90	-418.9	-53.51
923.45	-423.7	-54.07
924.00	-417.5	-53.27
924.55	-421.9	-53.75
925.10	-421.2	-53.73
925.65	-434.6	-55.40
926.20	-427.7	-54.31
926.75	-423.5	-53.99
927.30	-422.2	-53.73
927.85	-426.3	-54.27
928.40	-427.4	-54.39
928.95	-422.6	-53.69
929.50	-419.0	-53.32
930.05	-429.4	-54.53
930.60	-430.7	-54.79
931.15	-428.6	-54.67
931.70	-425.0	-54.14
932.25	-424.8	-54.11
932.80	-423.4	-53.91
933.35	-424.2	-54.06
933.90	-419.0	-53.41
934.45	-427.0	-54.51
935.00	-419.2	-53.52
935.55	-423.4	-53.97
936.10	-413.9	-52.73
936.65	-423.7	-53.92
937.20	-417.6	-53.18
937.75	-416.9	-53.07
938.30	-422.6	-53.72
938.85	-421.4	-53.63
939.40	-426.0	-54.22
939.95	-416.3	-53.00
940.50	-414.9	-52.59
941.05	-418.5	-53.40
941.60	-420.0	-53.37
942.15	-421.2	-53.60
942.70	-416.6	-53.01
943.25	-422.9	-53.69
943.80	-422.1	-53.80
944.35	-423.8	-53.79
944.90	-422.0	-53.55
945.45	-422.7	-53.70
946.00	-422.1	-53.62
946.55	-421.5	-53.66
947.10	-419.7	-53.41
947.65	-419.4	-53.25
948.20	-429.8	-54.59
948.75	-414.3	-52.64
949.30	-424.2	-53.82
949.85	-424.8	-54.15
950.40	-431.1	-54.86
950.95	-423.8	-53.86
951.50	-416.0	-52.95
952.05	-424.9	-54.10
952.60	-426.5	-54.16
953.15	-424.3	-53.90
953.70	-422.2	-53.71
954.25	-430.1	-54.81
954.80	-428.6	-54.59
955.35	-419.0	-53.30
955.90	-422.5	-53.70
956.45	-422.6	-53.87
957.00	-421.4	-53.61
957.55	-430.8	-54.85
958.10	-425.2	-54.22
958.65	-427.8	-54.32
959.20	-427.1	-54.47
959.75	-430.6	-54.64
960.30	-431.1	-54.97
960.85	-428.6	-54.56
961.40	-427.0	-54.47
961.95	-432.0	-55.01
962.50	-428.9	-54.62
963.05	-424.5	-54.13
963.60	-430.6	-54.90
964.15	-427.4	-54.38
964.70	-423.4	-53.87
965.25	-421.7	-53.68
965.80	-430.4	-54.75
966.35	-428.5	-54.49
966.90	-430.5	-54.81
967.45	-432.2	-55.00
968.00	-427.1	-54.33
968.55	-425.7	-54.13
969.10	-429.8	-54.73
969.65	-433.7	-55.08
970.20	-425.5	-54.14
970.75	-429.8	-54.68
971.30	-428.1	-54.50
971.85	-429.5	-54.83
972.40	-430.9	-54.83
972.95	-431.3	-54.86
973.50	-429.0	-54.64
974.05	-435.7	-55.48
974.60	-432.6	-55.05
975.15	-428.7	-54.54
975.70	-431.6	-55.00
976.25	-433.6	-55.24
976.80	-432.1	-55.08
977.35	-430.5	-54.93
977.90	-432.7	-55.02
978.45	-433.6	-55.17
979.00	-437.2	-55.54
979.55	-436.3	-55.51
980.10	-440.7	-56.07
980.65	-436.0	-55.37
981.20	-434.6	-55.21
981.75	-435.3	-55.41
982.30	-436.1	-55.33
982.85	-438.6	-55.68
983.40	-440.2	-56.03
983.95	-438.4	-55.74
984.50	-430.4	-54.78
985.05	-440.5	-56.01
985.60	-440.4	-56.07
986.15	-440.1	-55.99
986.70	-438.2	-55.80
987.25	-436.4	-55.52
987.80	-442.1	-56.35
988.35	-443.9	-56.59
988.90	-438.6	-55.91
989.45	-437.5	-55.81
990.00	-448.3	-57.11
990.55	-442.7	-56.53
991.10	-442.4	-56.50
991.65	-443.6	-56.44
992.20	-440.8	-56.14
992.75	-442.9	-56.50
993.30	-441.4	-56.23
993.85	-440.1	-56.05
994.40	-438.0	-55.83
994.95	-427.0	-54.54
995.50	-427.9	-54.34
996.05	-437.1	-55.62
996.60	-426.7	-54.25
997.15	-440.3	-55.98
997.70	-434.3	-55.26
998.25	-434.2	-55.35
998.80	-429.7	-54.72
999.35	-431.7	-55.02
999.90	-438.3	-55.85
1000.45	-441.6	-56.42
1001.00	-437.4	-55.81
1001.55	-439.8	-56.08
1002.10	-443.1	-56.46
1002.65	-439.4	-55.96
1003.20	-436.6	-55.59
1003.75	-440.1	-56.16
1004.30	-441.9	-56.33
1004.85	-437.6	-55.90
1005.40	-442.7	-56.34
1005.95	-437.0	-55.56
1006.50	-443.3	-56.49
1007.05	-441.3	-56.13
1007.60	-440.2	-56.04
1008.15	-440.6	-56.22
1008.70	-433.5	-55.23
1009.25	-433.5	-55.32
1009.80	-446.0	-56.80
1010.35	-437.4	-55.75
1010.90	-441.5	-56.19
1011.45	-439.3	-55.94
1012.00	-442.2	-56.26
1012.55	-443.9	-56.66
1013.10	-440.1	-56.00
1013.65	-444.8	-56.61
1014.20	-438.1	-55.82
1014.75	-441.4	-56.17
1015.30	-443.6	-56.52
1015.85	-445.0	-56.60
1016.40	-440.1	-56.15
1016.95	-443.2	-56.44
1017.50	-445.0	-56.69
1018.05	-444.4	-56.64
1018.60	-442.5	-56.23
1019.15	-446.4	-56.74
1019.70	-442.7	-56.18
1020.25	-442.2	-56.29
1020.80	-440.5	-56.11
1021.35	-441.8	-56.42
1021.90	-434.6	-55.51
1022.45	-445.9	-56.83
1023.00	-439.6	-55.96
1023.55	-438.3	-55.81
1024.10	-442.9	-56.36
1024.65	-443.0	-56.51
1025.20	-438.6	-55.82
1025.75	-441.7	-56.20
1026.30	-445.4	-56.63
1026.85	-440.6	-56.09
1027.40	-444.1	-56.63
1027.95	-443.3	-56.54
1028.50	-444.4	-56.63
1029.05	-440.9	-56.04
1029.60	-441.2	-56.25
1030.15	-444.2	-56.71
1030.70	-440.5	-56.01
1031.25	-434.6	-55.24
1031.80	-442.5	-56.51
1032.35	-442.6	-56.53
1032.90	-443.8	-56.50
1033.45	-430.5	-55.02
1034.00	-441.1	-56.42
1034.55	-439.5	-56.15
1035.10	-437.5	-55.89
1035.65	-442.3	-56.55
1036.20	-445.8	-56.75
1036.75	-445.1	-56.81
1037.30	-443.9	-56.66
1037.85	-434.7	-55.42
1038.40	-436.2	-55.61
1038.95	-435.5	-55.31
1039.50	-433.5	-55.10
1040.05	-436.9	-55.63
1040.60	-434.6	-55.35
1041.15	-439.7	-56.04
1041.70	-436.9	-55.61
1042.25	-444.7	-56.67
1042.80	-441.9	-56.33
1043.35	-441.7	-56.47
1043.90	-446.5	-56.96
1044.45	-441.3	-56.31
1045.00	-446.3	-56.98
1045.55	-440.7	-56.25
1046.10	-443.6	-56.58
1046.65	-442.2	-56.45
1047.20	-441.6	-56.62
1047.75	-431.7	-55.31
1048.30	-439.2	-56.42
1048.85	-441.1	-56.40
1049.40	-438.3	-56.00
1049.95	-429.6	-55.06
1050.50	-433.7	-55.42
1051.05	-431.8	-55.12
1051.60	-435.9	-55.70
1052.15	-436.7	-56.03
1052.70	-433.2	-55.27
1053.25	-434.4	-55.37
1053.80	-432.3	-55.09
1054.35	-434.6	-55.41
1054.90	-429.0	-54.98
1055.45	-428.2	-54.68
1056.00	-433.6	-55.47
1056.55	-425.9	-54.39
1057.10	-428.4	-54.80
1057.65	-427.9	-54.70
1058.20	-426.7	-54.26
1058.75	-419.4	-53.71
1059.30	-424.5	-54.27
1059.85	-421.9	-53.98
1060.40	-422.0	-53.93
1060.95	-418.5	-53.55
1061.50	-421.2	-53.98
1062.05	-421.4	-53.77
1062.60	-424.1	-54.19
1063.15	-420.7	-53.74
1063.70	-434.7	-55.34
1064.25	-432.0	-55.08
1064.80	-419.7	-53.54
1065.35	-430.9	-54.85
1065.90	-426.8	-54.57
1066.45	-425.6	-54.04
1067.00	-424.4	-53.97
1067.55	-424.6	-54.00
1068.10	-430.7	-54.77
1068.65	-431.6	-55.06
1069.20	-429.1	-54.64
1069.75	-429.7	-54.72
1070.30	-423.5	-53.89
1070.85	-428.7	-54.66
1071.40	-429.5	-54.74
1071.95	-428.4	-54.82
1072.50	-430.5	-54.98
1073.05	-429.9	-54.92
1073.60	-428.1	-54.66
1074.15	-431.1	-55.04
1074.70	-432.3	-55.09
1075.25	-430.2	-54.68
1075.80	-437.0	-55.55
1076.35	-430.9	-54.93
1076.90	-434.2	-55.24
1077.45	-432.5	-55.12
1078.00	-438.2	-56.06
1078.55	-442.2	-56.38
1079.10	-436.2	-55.62
1079.65	-437.7	-55.91
1080.20	-438.8	-56.12
1080.75	-438.0	-56.12
1081.30	-434.8	-55.83
1081.85	-434.5	-55.69
1082.40	-434.7	-55.54
1082.95	-433.4	-55.53
1083.50	-431.9	-55.17
1084.05	-434.9	-55.63
1084.60	-428.4	-54.89
1085.15	-430.3	-55.14
1085.70	-428.0	-54.79
1086.25	-427.6	-54.75
1086.80	-434.3	-55.61
1087.35	-425.9	-54.62
1087.90	-431.6	-55.20
1088.45	-427.7	-54.65
1089.00	-433.4	-55.39
