
Depth ice/snow [m]	δD H2O [‰ SMOW]	δ18O H2O [‰ SMOW]
130.90	-401.8	-51.50
131.45	-387.3	-49.70
132.00	-394.6	-50.46
132.55	-397.2	-50.91
133.10	-394.5	-50.56
133.65	-399.5	-51.01
134.20	-389.9	-49.88
134.75	-390.8	-49.96
135.30	-394.4	-50.42
135.85	-391.7	-50.02
136.40	-389.2	-49.99
136.95	-401.6	-51.44
137.50	-387.2	-49.54
138.05	-387.8	-49.63
138.60	-404.9	-51.79
139.15	-388.9	-49.70
139.70	-394.9	-50.65
140.25	-393.8	-50.22
140.80	-399.6	-51.32
141.35	-400.9	-51.31
141.90	-391.0	-49.93
142.45	-396.1	-50.61
143.00	-398.5	-50.85
143.55	-396.5	-50.62
144.10	-397.8	-50.85
144.65	-392.9	-50.18
145.20	-398.7	-51.14
145.75	-398.9	-51.07
146.30	-390.6	-49.91
146.85	-390.4	-49.97
147.40	-402.3	-51.36
147.95	-389.9	-49.67
148.50	-390.3	-49.82
149.05	-398.8	-50.82
149.60	-397.8	-50.75
150.15	-394.9	-50.31
150.70	-392.2	-50.03
151.25	-404.7	-51.83
151.80	-391.2	-49.96
152.35	-387.3	-49.49
152.90	-396.4	-50.47
153.45	-387.0	-49.40
154.00	-398.1	-50.86
154.55	-401.4	-51.31
155.10	-395.2	-50.46
155.65	-393.4	-50.22
156.20	-394.9	-50.45
156.75	-397.1	-50.83
157.30	-400.6	-51.17
157.85	-393.0	-50.23
158.40	-387.1	-49.51
158.95	-397.5	-50.86
159.50	-390.4	-50.00
160.05	-399.3	-51.07
160.60	-397.5	-50.86
161.15	-399.9	-51.23
161.70	-395.0	-50.44
162.25	-394.1	-50.41
162.80	-393.4	-49.99
163.35	-398.4	-50.88
163.90	-395.1	-50.64
164.45	-396.0	-50.62
165.00	-397.3	-50.72
165.55	-389.3	-49.84
166.10	-399.6	-50.91
166.65	-402.3	-51.38
167.20	-396.7	-50.85
167.75	-397.2	-50.82
168.30	-402.0	-51.24
168.85	-396.9	-50.73
169.40	-390.9	-49.94
169.95	-393.4	-50.38
170.50	-395.9	-50.53
171.05	-395.1	-50.49
171.60	-392.7	-50.14
172.15	-389.0	-49.86
172.70	-397.9	-50.93
173.25	-398.9	-51.00
173.80	-396.8	-50.54
174.35	-396.6	-50.67
174.90	-392.7	-50.24
175.45	-400.6	-51.33
176.00	-396.3	-50.47
176.55	-395.6	-50.56
177.10	-393.3	-50.12
177.65	-391.4	-50.04
178.20	-391.3	-50.05
178.75	-393.2	-50.35
179.30	-397.6	-50.77
179.85	-395.8	-50.56
180.40	-403.1	-51.75
180.95	-396.3	-50.74
181.50	-390.6	-49.85
182.05	-396.0	-50.46
182.60	-390.6	-49.86
183.15	-396.3	-50.61
183.70	-394.5	-50.42
184.25	-391.4	-50.16
184.80	-407.6	-52.12
185.35	-401.2	-51.23
185.90	-402.4	-51.41
186.45	-395.0	-50.56
187.00	-402.5	-51.56
187.55	-407.9	-52.20
188.10	-399.6	-51.06
188.65	-394.6	-50.48
189.20	-387.2	-49.54
189.75	-396.2	-50.65
190.30	-394.0	-50.49
190.85	-399.1	-51.11
191.40	-395.2	-50.57
191.95	-396.0	-50.54
192.50	-400.4	-51.11
193.05	-391.1	-50.07
193.60	-399.2	-51.01
194.15	-386.2	-49.35
194.70	-398.9	-51.17
195.25	-389.0	-49.80
