Gas age [ka BP]	CO2 [ppmv]
221.268000	216.1
222.217000	207.1
222.904000	208.8
224.318000	205.6
226.542000	203.3
227.053000	215.7
227.748000	235.5
228.471000	234.5
228.799000	233.1
229.628000	224.5
231.223000	232.4
232.154000	233.9
232.853000	241.6
236.255000	245.2
236.819000	252.1
237.434000	241.4
238.018000	247.4
238.593000	243.1
239.158000	239.1
239.842000	245.6
240.308000	245.8
240.790000	247.4
241.312000	252.8
242.248000	259.7
242.611000	263.2
243.158000	279.0
243.474000	280.2
244.172000	263.7
244.565000	252.3
244.965000	249.9
245.526000	236.7
246.163000	230.4
246.844000	219.4
249.367000	214.7
252.180000	200.2
253.192000	213.9
254.205000	195.4
255.205000	196.7
256.100000	195.4
258.018000	199.0
258.887000	201.9
259.686000	204.0
261.891000	203.9
263.865000	209.6
264.404000	205.7
265.438000	208.9
266.051000	214.6
267.380000	228.1
268.482000	199.9
269.153000	211.7
270.175000	188.7
270.858000	187.2
271.707000	194.2
272.687000	198.8
273.597000	184.7
274.583000	190.4
275.411000	193.9
276.290000	194.1
277.115000	198.4
277.913000	193.2
278.906000	202.2
279.691000	204.5
280.583000	211.0
281.359000	215.3
282.775000	223.7
284.614000	231.3
286.142000	228.0
286.808000	226.4
287.671000	231.4
288.165000	230.4
288.808000	231.0
290.557000	234.9
291.062000	220.4
291.695000	217.1
292.741000	207.6
293.442000	206.0
294.145000	206.7
294.874000	212.7
296.060000	213.1
298.076000	217.1
298.765000	224.4
299.509000	231.0
300.261000	236.1
301.281000	239.0
302.206000	236.0
303.045000	240.2
303.955000	240.7
304.577000	250.2
305.296000	248.6
306.259000	244.8
307.380000	225.8
308.628000	227.8
309.375000	226.2
310.306000	233.2
311.264000	237.8
312.198000	239.0
313.192000	241.9
314.155000	251.6
315.067000	256.7
315.893000	257.1
316.661000	246.8
317.309000	272.6
318.030000	251.6
318.914000	245.2
319.882000	233.4
320.982000	255.8
321.915000	249.2
323.596000	257.2
324.349000	260.4
325.119000	260.3
325.931000	260.5
326.682000	266.2
327.477000	264.0
328.118000	266.1
328.866000	270.1
329.549000	271.9
330.257000	275.1
331.574000	265.0
332.196000	271.7
332.770000	272.6
333.576000	273.1
334.080000	282.4
334.410000	289.1
334.580000	288.4
335.026000	298.6
335.477000	278.1
335.968000	285.8
336.322000	278.6
336.793000	270.5
337.344000	255.7
338.016000	241.9
338.902000	239.6
339.639000	234.2
341.667000	250.1
342.997000	200.7
344.511000	205.2
346.049000	204.8
347.107000	211.9
348.531000	220.3
350.629000	221.1
351.963000	216.2
353.182000	209.4
354.442000	209.2
357.133000	193.0
358.781000	186.1
360.663000	185.8
362.915000	201.2
365.331000	206.3
367.809000	201.9
369.285000	199.9
370.882000	214.7
372.515000	224.6
373.986000	229.6
377.751000	227.0
379.119000	240.0
380.582000	239.1
381.900000	246.8
383.367000	245.8
385.178000	258.1
385.950000	264.6
386.568000	259.2
